"","ID","habitacao","tempo_res_atual","patrimonio","telefone","proposito","reserva","n_corresponsaveis","classe"
"88",88,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","educação","100 - 500",2,"Ruim"
"89",89,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","100 - 500",2,"Bom"
"90",90,"própria",3,"imobiliária","Nenhum","reparos","< 100",1,"Ruim"
"91",91,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"92",92,"própria",3,"imobiliária","Nenhum","carro (usado)","< 100",1,"Bom"
"93",93,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","desconhecido/semcontapoupança",2,"Ruim"
"94",94,"alugada",4,"desconhecido/sem propriedade","Nenhum","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"95",95,"própria",4,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","> 1000",1,"Bom"
"96",96,"alugada",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"97",97,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","educação","desconhecido/semcontapoupança",1,"Bom"
"98",98,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","100 - 500",1,"Bom"
"99",99,"própria",4,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"100",100,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",2,"Bom"
"101",101,"alugada",4,"imobiliária","Nenhum","carro (novo)","100 - 500",1,"Bom"
"102",102,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"103",103,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"104",104,"alugada",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"105",105,"alugada",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"106",106,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Ruim"
"107",107,"própria",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",2,"Ruim"
"108",108,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",1,"Bom"
"109",109,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"110",110,"própria",2,"imobiliária","Sim, registrado em nome do cliente","negócios","500 - 1000",1,"Bom"
"111",111,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","100 - 500",2,"Bom"
"112",112,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","educação","< 100",1,"Bom"
"113",113,"alugada",3,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"114",114,"própria",2,"imobiliária","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Ruim"
"115",115,"própria",1,"imobiliária","Nenhum","rádio/televisão","500 - 1000",1,"Bom"
"116",116,"própria",1,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"117",117,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Ruim"
"118",118,"alugada",3,"imobiliária","Nenhum","móveis/equipamentos","desconhecido/semcontapoupança",1,"Bom"
"119",119,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","500 - 1000",1,"Ruim"
"120",120,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","500 - 1000",1,"Bom"
"121",121,"própria",2,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Ruim"
"122",122,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"123",123,"alugada",2,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"124",124,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"125",125,"alugada",3,"imobiliária","Nenhum","móveis/equipamentos","desconhecido/semcontapoupança",1,"Ruim"
"126",126,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","< 100",1,"Bom"
"127",127,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"128",128,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","reparos","< 100",1,"Ruim"
"129",129,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"130",130,"própria",2,"imobiliária","Nenhum","carro (novo)","< 100",1,"Ruim"
"131",131,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","desconhecido/semcontapoupança",1,"Bom"
"132",132,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","educação","< 100",1,"Ruim"
"133",133,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"134",134,"de graça",4,"desconhecido/sem propriedade","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"135",135,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","100 - 500",1,"Bom"
"136",136,"própria",2,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"137",137,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (usado)","> 1000",1,"Bom"
"138",138,"própria",3,"imobiliária","Nenhum","rádio/televisão","500 - 1000",1,"Ruim"
"139",139,"própria",2,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"140",140,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"141",141,"própria",2,"imobiliária","Nenhum","carro (novo)","> 1000",1,"Bom"
"142",142,"própria",1,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"143",143,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"144",144,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"145",145,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"146",146,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","100 - 500",1,"Bom"
"147",147,"própria",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"148",148,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","100 - 500",1,"Bom"
"149",149,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"150",150,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","> 1000",1,"Bom"
"151",151,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","rádio/televisão","100 - 500",2,"Bom"
"152",152,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"153",153,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Bom"
"154",154,"alugada",4,"desconhecido/sem propriedade","Nenhum","carro (usado)","> 1000",1,"Bom"
"155",155,"alugada",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","100 - 500",1,"Bom"
"156",156,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"157",157,"própria",4,"imobiliária","Nenhum","reparos","100 - 500",2,"Bom"
"158",158,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","reciclagem","< 100",1,"Bom"
"159",159,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","100 - 500",1,"Bom"
"160",160,"própria",2,"imobiliária","Nenhum","rádio/televisão","desconhecido/semcontapoupança",2,"Bom"
"161",161,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","100 - 500",2,"Bom"
"162",162,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","< 100",1,"Bom"
"163",163,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","eletrodomésticos","500 - 1000",1,"Bom"
"164",164,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"165",165,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","500 - 1000",1,"Bom"
"166",166,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","500 - 1000",1,"Bom"
"167",167,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Ruim"
"168",168,"própria",1,"imobiliária","Nenhum","móveis/equipamentos","> 1000",1,"Bom"
"169",169,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"170",170,"própria",4,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"171",171,"alugada",3,"carro ou outro, não em conta poupança/títulos","Nenhum","carro (novo)","< 100",2,"Ruim"
"172",172,"própria",1,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"173",173,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"174",174,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"175",175,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","educação","< 100",1,"Ruim"
"176",176,"própria",1,"imobiliária","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Ruim"
"177",177,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"178",178,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","500 - 1000",1,"Bom"
"179",179,"alugada",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",2,"Bom"
"180",180,"própria",4,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"181",181,"própria",1,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","< 100",1,"Ruim"
"182",182,"própria",2,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"183",183,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (novo)","desconhecido/semcontapoupança",2,"Ruim"
"184",184,"própria",4,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","> 1000",1,"Bom"
"185",185,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",2,"Ruim"
"186",186,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","< 100",1,"Bom"
"187",187,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Ruim"
"188",188,"de graça",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"189",189,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","100 - 500",1,"Ruim"
"190",190,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"191",191,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","negócios","> 1000",1,"Ruim"
"192",192,"de graça",4,"desconhecido/sem propriedade","Nenhum","negócios","100 - 500",2,"Ruim"
"193",193,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","negócios","< 100",2,"Ruim"
"194",194,"alugada",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"195",195,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","rádio/televisão","100 - 500",1,"Ruim"
"196",196,"própria",3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","educação","< 100",1,"Ruim"
"197",197,"própria",1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"198",198,"alugada",4,"carro ou outro, não em conta poupança/títulos","Nenhum","móveis/equipamentos","100 - 500",1,"Ruim"
"199",199,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","desconhecido/semcontapoupança",1,"Bom"
"200",200,"própria",3,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"201",201,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","educação","500 - 1000",1,"Bom"
"202",202,"própria",3,"imobiliária","Nenhum","carro (novo)","< 100",1,"Bom"
"203",203,"própria",4,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","< 100",1,"Bom"
"204",204,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","reciclagem","< 100",1,"Ruim"
"205",205,"própria",1,"imobiliária","Nenhum","carro (novo)","< 100",2,"Bom"
"206",206,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","carro (usado)","< 100",2,"Bom"
"207",207,"própria",4,"imobiliária","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Bom"
"208",208,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","eletrodomésticos","< 100",1,"Bom"
"209",209,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","negócios","< 100",1,"Bom"
"210",210,"própria",2,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","carro (usado)","> 1000",1,"Bom"
"211",211,"própria",2,"imobiliária","Nenhum","rádio/televisão","desconhecido/semcontapoupança",2,"Bom"
"212",212,"própria",4,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"213",213,"própria",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"214",214,"própria",4,"imobiliária","Sim, registrado em nome do cliente","negócios","< 100",1,"Ruim"
"215",215,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","rádio/televisão","desconhecido/semcontapoupança",1,"Bom"
"216",216,"própria",3,"contrato de poupança/seguro de vida da sociedade civil","Nenhum","reciclagem","desconhecido/semcontapoupança",1,"Bom"
"217",217,"própria",1,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","negócios","< 100",1,"Bom"
"218",218,"própria",2,"imobiliária","Sim, registrado em nome do cliente","rádio/televisão","< 100",1,"Bom"
"219",219,"alugada",2,"imobiliária","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"220",220,"própria",4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (novo)","< 100",1,"Bom"
"221",221,"própria",1,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"222",222,"alugada",4,"contrato de poupança/seguro de vida da sociedade civil","Sim, registrado em nome do cliente","educação","desconhecido/semcontapoupança",1,"Bom"
"223",223,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"224",224,"própria",4,"imobiliária","Sim, registrado em nome do cliente","negócios","desconhecido/semcontapoupança",2,"Bom"
"225",225,"própria",2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente","carro (usado)","< 100",1,"Bom"
"226",226,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","reparos","< 100",1,"Bom"
"227",227,"própria",2,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","rádio/televisão","> 1000",1,"Ruim"
"228",228,"de graça",4,"desconhecido/sem propriedade","Sim, registrado em nome do cliente","móveis/equipamentos","< 100",1,"Ruim"
"229",229,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Ruim"
"230",230,"de graça",1,"desconhecido/sem propriedade","Nenhum","móveis/equipamentos","< 100",1,"Bom"
"231",231,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",1,"Ruim"
"232",232,"de graça",4,"desconhecido/sem propriedade","Nenhum","carro (novo)","500 - 1000",1,"Bom"
"233",233,"própria",1,"desconhecido/sem propriedade","Nenhum","rádio/televisão","100 - 500",1,"Bom"
"234",234,"própria",2,"imobiliária","Nenhum","rádio/televisão","< 100",1,"Bom"
"235",235,"própria",1,"imobiliária","Nenhum","rádio/televisão","< 100",2,"Bom"
"236",236,"própria",2,"carro ou outro, não em conta poupança/títulos","Nenhum","rádio/televisão","< 100",2,"Ruim"
