"","ID","status_conta","duracao_mes","hist_credito","qtdd_credito","percen_tx_rendim_disp","dev_fiadores","outros_par","n_creditos","classe"
"190",190,"Regular",18,"Quitados",3244,1,"nenhum","banco",2,"Bom"
"191",191,"Inexistente",24,"Pago em dia",4591,2,"nenhum","nenhum",3,"Ruim"
"192",192,"Regular",48,"Quitados",3844,4,"nenhum","nenhum",1,"Ruim"
"193",193,"Regular",27,"Pago em dia",3915,4,"nenhum","nenhum",1,"Ruim"
"194",194,"Inexistente",6,"Pago em dia",2108,2,"nenhum","nenhum",1,"Bom"
"195",195,"Regular",45,"Pago em dia",3031,4,"fiador","nenhum",1,"Ruim"
"196",196,"Regular",9,"Pendente (outros bancos)",1501,2,"nenhum","nenhum",2,"Ruim"
"197",197,"Inexistente",6,"Pendente (outros bancos)",1382,1,"nenhum","nenhum",2,"Bom"
"198",198,"Regular",12,"Pago em dia",951,4,"nenhum","banco",4,"Ruim"
"199",199,"Regular",24,"Pago em dia",2760,4,"nenhum","banco",1,"Bom"
"200",200,"Regular",18,"Pago mas já esteve em atraso",4297,4,"nenhum","nenhum",1,"Ruim"
"201",201,"Inexistente",9,"Pendente (outros bancos)",936,4,"nenhum","nenhum",2,"Bom"
"202",202,"Negativo",12,"Pago em dia",1168,4,"nenhum","nenhum",1,"Bom"
"203",203,"Inexistente",27,"Pago mas já esteve em atraso",5117,3,"nenhum","nenhum",2,"Bom"
"204",204,"Negativo",12,"Pago em dia",902,4,"nenhum","nenhum",1,"Ruim"
"205",205,"Inexistente",12,"Pendente (outros bancos)",1495,4,"nenhum","nenhum",2,"Bom"
"206",206,"Negativo",30,"Pendente (outros bancos)",10623,3,"nenhum","nenhum",3,"Bom"
"207",207,"Inexistente",12,"Pendente (outros bancos)",1935,4,"nenhum","nenhum",3,"Bom"
"208",208,"Regular",12,"Pendente (outros bancos)",1424,4,"nenhum","nenhum",1,"Bom"
"209",209,"Negativo",24,"Pago em dia",6568,2,"nenhum","lojas",1,"Bom"
"210",210,"Inexistente",12,"Pago em dia",1413,3,"nenhum","nenhum",1,"Bom"
"211",211,"Inexistente",9,"Pendente (outros bancos)",3074,1,"nenhum","nenhum",2,"Bom"
"212",212,"Inexistente",36,"Pago em dia",3835,2,"nenhum","nenhum",1,"Bom"
"213",213,"Negativo",27,"Quitados",5293,2,"nenhum","lojas",2,"Ruim"
"214",214,"Alto",30,"Pago mas já esteve em atraso",1908,4,"nenhum","nenhum",1,"Ruim"
"215",215,"Inexistente",36,"Pendente (outros bancos)",3342,4,"nenhum","nenhum",1,"Bom"
"216",216,"Regular",6,"Pendente (outros bancos)",932,1,"nenhum","nenhum",2,"Bom"
"217",217,"Negativo",18,"Quitados",3104,3,"nenhum","banco",1,"Bom"
"218",218,"Alto",36,"Pago em dia",3913,2,"nenhum","nenhum",1,"Bom"
"219",219,"Negativo",24,"Pago em dia",3021,2,"nenhum","nenhum",1,"Bom"
"220",220,"Inexistente",10,"Pago em dia",1364,2,"nenhum","nenhum",1,"Bom"
"221",221,"Regular",12,"Pago em dia",625,4,"fiador","banco",1,"Bom"
"222",222,"Negativo",12,"Pago em dia",1200,4,"nenhum","banco",1,"Bom"
"223",223,"Inexistente",12,"Pago em dia",707,4,"nenhum","banco",2,"Bom"
"224",224,"Inexistente",24,"Pago mas já esteve em atraso",2978,4,"nenhum","nenhum",2,"Bom"
"225",225,"Inexistente",15,"Pago em dia",4657,3,"nenhum","nenhum",1,"Bom"
"226",226,"Inexistente",36,"Quitados",2613,4,"nenhum","nenhum",2,"Bom"
"227",227,"Regular",48,"Pago em dia",10961,1,"co-requerente","banco",2,"Ruim"
"228",228,"Negativo",12,"Pago em dia",7865,4,"nenhum","nenhum",1,"Ruim"
"229",229,"Inexistente",9,"Pago em dia",1478,4,"nenhum","nenhum",1,"Ruim"
"230",230,"Negativo",24,"Pago em dia",3149,4,"nenhum","banco",1,"Bom"
"231",231,"Alto",36,"Pago em dia",4210,4,"nenhum","nenhum",1,"Ruim"
"232",232,"Inexistente",9,"Pago em dia",2507,2,"nenhum","nenhum",1,"Bom"
"233",233,"Inexistente",12,"Pago em dia",2141,3,"nenhum","nenhum",1,"Bom"
"234",234,"Regular",18,"Pago em dia",866,4,"fiador","nenhum",1,"Bom"
"235",235,"Inexistente",4,"Pendente (outros bancos)",1544,2,"nenhum","nenhum",3,"Bom"
"236",236,"Negativo",24,"Pago em dia",1823,4,"nenhum","lojas",1,"Ruim"
"237",237,"Regular",6,"Pago em dia",14555,1,"nenhum","nenhum",1,"Ruim"
"238",238,"Regular",21,"Pago em dia",2767,4,"nenhum","banco",2,"Ruim"
"239",239,"Inexistente",12,"Pendente (outros bancos)",1291,4,"nenhum","nenhum",2,"Bom"
"240",240,"Negativo",30,"Pago em dia",2522,1,"fiador","nenhum",1,"Bom"
"241",241,"Negativo",24,"Pago em dia",915,4,"nenhum","banco",1,"Ruim"
"242",242,"Inexistente",6,"Pago em dia",1595,3,"nenhum","nenhum",1,"Bom"
"243",243,"Negativo",48,"Quitados",4605,3,"nenhum","nenhum",2,"Ruim"
"244",244,"Inexistente",12,"Pendente (outros bancos)",1185,3,"nenhum","nenhum",2,"Bom"
"245",245,"Inexistente",12,"Quitados",3447,4,"nenhum","nenhum",1,"Bom"
"246",246,"Inexistente",24,"Pago em dia",1258,4,"nenhum","nenhum",1,"Bom"
"247",247,"Inexistente",12,"Pendente (outros bancos)",717,4,"nenhum","nenhum",3,"Bom"
"248",248,"Inexistente",6,"Quitados",1204,4,"nenhum","banco",1,"Bom"
"249",249,"Alto",24,"Pago em dia",1925,2,"nenhum","nenhum",1,"Bom"
"250",250,"Inexistente",18,"Pago em dia",433,3,"co-requerente","nenhum",1,"Ruim"
"251",251,"Negativo",6,"Pendente (outros bancos)",666,3,"nenhum","nenhum",2,"Bom"
"252",252,"Alto",12,"Pago em dia",2251,1,"nenhum","nenhum",1,"Bom"
"253",253,"Regular",30,"Pago em dia",2150,4,"fiador","banco",1,"Ruim"
"254",254,"Inexistente",24,"Pago mas já esteve em atraso",4151,2,"nenhum","nenhum",2,"Bom"
"255",255,"Regular",9,"Pago em dia",2030,2,"nenhum","nenhum",1,"Bom"
"256",256,"Regular",60,"Pago mas já esteve em atraso",7418,1,"nenhum","nenhum",1,"Bom"
"257",257,"Inexistente",24,"Pendente (outros bancos)",2684,4,"nenhum","nenhum",2,"Bom"
"258",258,"Negativo",12,"Quitados",2149,4,"nenhum","nenhum",1,"Ruim"
"259",259,"Inexistente",15,"Pago em dia",3812,1,"nenhum","nenhum",1,"Bom"
"260",260,"Inexistente",11,"Pendente (outros bancos)",1154,4,"nenhum","nenhum",3,"Bom"
"261",261,"Negativo",12,"Pago em dia",1657,2,"nenhum","nenhum",1,"Bom"
"262",262,"Negativo",24,"Pago em dia",1603,4,"nenhum","nenhum",1,"Bom"
"263",263,"Negativo",18,"Pendente (outros bancos)",5302,2,"nenhum","nenhum",3,"Bom"
"264",264,"Inexistente",12,"Pendente (outros bancos)",2748,2,"nenhum","banco",3,"Bom"
"265",265,"Inexistente",10,"Pendente (outros bancos)",1231,3,"nenhum","nenhum",2,"Bom"
"266",266,"Regular",15,"Pago em dia",802,4,"nenhum","nenhum",1,"Ruim"
"267",267,"Inexistente",36,"Pendente (outros bancos)",6304,4,"nenhum","nenhum",2,"Bom"
"268",268,"Inexistente",24,"Pago em dia",1533,4,"nenhum","lojas",1,"Bom"
"269",269,"Negativo",14,"Pago em dia",8978,1,"nenhum","nenhum",1,"Ruim"
"270",270,"Inexistente",24,"Pago em dia",999,4,"nenhum","nenhum",2,"Bom"
"271",271,"Inexistente",18,"Pago em dia",2662,4,"nenhum","nenhum",1,"Bom"
"272",272,"Inexistente",12,"Pendente (outros bancos)",1402,3,"nenhum","nenhum",1,"Bom"
"273",273,"Regular",48,"Quitados",12169,4,"co-requerente","nenhum",1,"Bom"
"274",274,"Regular",48,"Pago em dia",3060,4,"nenhum","nenhum",2,"Ruim"
"275",275,"Negativo",30,"Pago em dia",11998,1,"nenhum","nenhum",1,"Ruim"
"276",276,"Inexistente",9,"Pago em dia",2697,1,"nenhum","nenhum",1,"Bom"
"277",277,"Inexistente",18,"Pendente (outros bancos)",2404,2,"nenhum","nenhum",2,"Bom"
"278",278,"Negativo",12,"Pago em dia",1262,2,"nenhum","nenhum",1,"Bom"
"279",279,"Inexistente",6,"Pago em dia",4611,1,"nenhum","nenhum",1,"Ruim"
"280",280,"Inexistente",24,"Pago em dia",1901,4,"nenhum","nenhum",1,"Bom"
"281",281,"Inexistente",15,"Pendente (outros bancos)",3368,3,"nenhum","nenhum",2,"Bom"
"282",282,"Inexistente",12,"Pago em dia",1574,4,"nenhum","nenhum",1,"Bom"
"283",283,"Alto",18,"Quitados",1445,4,"nenhum","banco",1,"Bom"
"284",284,"Inexistente",15,"Pendente (outros bancos)",1520,4,"nenhum","nenhum",1,"Bom"
"285",285,"Regular",24,"Pendente (outros bancos)",3878,4,"nenhum","nenhum",1,"Bom"
"286",286,"Negativo",47,"Pago em dia",10722,1,"nenhum","nenhum",1,"Bom"
"287",287,"Negativo",48,"Pago em dia",4788,4,"nenhum","nenhum",1,"Bom"
"288",288,"Regular",48,"Pago mas já esteve em atraso",7582,2,"nenhum","nenhum",1,"Bom"
"289",289,"Regular",12,"Pago em dia",1092,4,"fiador","nenhum",2,"Bom"
"290",290,"Negativo",24,"Pago mas já esteve em atraso",1024,4,"nenhum","lojas",1,"Ruim"
"291",291,"Inexistente",12,"Pago em dia",1076,2,"nenhum","nenhum",1,"Bom"
"292",292,"Regular",36,"Pago em dia",9398,1,"nenhum","nenhum",1,"Ruim"
"293",293,"Negativo",24,"Pendente (outros bancos)",6419,2,"nenhum","nenhum",2,"Bom"
"294",294,"Alto",42,"Pendente (outros bancos)",4796,4,"nenhum","nenhum",1,"Bom"
"295",295,"Inexistente",48,"Pendente (outros bancos)",7629,4,"nenhum","banco",2,"Bom"
"296",296,"Regular",48,"Pago em dia",9960,1,"nenhum","nenhum",1,"Ruim"
