"","X","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"30",30,"Negativo",60,"Pago mas já esteve em atraso","negócios",6836,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",63,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",30
"31",31,"Regular",18,"Pago em dia","negócios",1913,"> 1000","...<1ano",3,"Homem","uniao registrada","nenhum",3,"Imóvel",36,"banco","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",31
"32",32,"Negativo",24,"Pago em dia","móveis/equipamentos",4020,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"Carro/outro",27,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",32
"33",33,"Regular",18,"Pago em dia","carro (novo)",5866,"100 - 500","1 - 4",2,"Homem"," solteiro","nenhum",2,"Carro/outro",30,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",33
"34",34,"Inexistente",12,"Pendente (outros bancos)","negócios",1264,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",57,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",34
"35",35,"Alto",12,"Pago em dia","móveis/equipamentos",1474,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",33,"banco","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",35
"36",36,"Regular",45,"Pendente (outros bancos)","rádio/televisão",4746,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",25,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",36
"37",37,"Inexistente",48,"Pendente (outros bancos)","educação",6110,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",3,"Sem posses/
desconhecido",31,"banco","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",37
"38",38,"Alto",18,"Pago em dia","rádio/televisão",2100,"< 100","1 - 4",4,"Homem"," solteiro","co-requerente",2,"Imóvel",37,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",38
"39",39,"Alto",10,"Pago em dia","eletrodomésticos",1225,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"Carro/outro",37,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",39
"40",40,"Regular",9,"Pago em dia","rádio/televisão",458,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",3,"Imóvel",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",40
"41",41,"Inexistente",30,"Pago em dia","rádio/televisão",2333,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",2,"Carro/outro",30,"banco","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",41
"42",42,"Regular",12,"Pago em dia","rádio/televisão",1158,"500 - 1000","1 - 4",3,"Homem","uniao registrada","nenhum",1,"Carro/outro",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",42
"43",43,"Regular",18,"Pago mas já esteve em atraso","reparos",6204,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",4,"Imóvel",44,"nenhum","própria",1,"não qualificado - residente",2,"Sim, registrado em nome do cliente","Sim","Bom",43
"44",44,"Negativo",30,"Pendente (outros bancos)","carro (usado)",6187,"100 - 500","4 - 7",1,"Homem","uniao registrada","nenhum",4,"Carro/outro",24,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",44
"45",45,"Negativo",48,"Pendente (outros bancos)","carro (usado)",6143,"< 100","> 7",4,"Mulher","uniao registrada","nenhum",4,"Sem posses/
desconhecido",58,"lojas","de graça",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",45
"46",46,"Inexistente",11,"Pendente (outros bancos)","carro (novo)",1393,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",4,"Carro/outro",35,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",46
"47",47,"Inexistente",36,"Pago em dia","rádio/televisão",2299,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",39,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",47
"48",48,"Negativo",6,"Pago em dia","carro (usado)",1352,"500 - 1000","desempregado",1,"Mulher","uniao registrada","nenhum",2,"Poupança/
Seguro de vida",23,"nenhum","alugada",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Bom",48
"49",49,"Inexistente",11,"Pendente (outros bancos)","carro (novo)",7228,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",39,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",49
"50",50,"Inexistente",12,"Pago em dia","rádio/televisão",2073,"100 - 500","1 - 4",4,"Mulher","uniao registrada","co-requerente",2,"Imóvel",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",50
"51",51,"Regular",24,"Pago mas já esteve em atraso","móveis/equipamentos",2333,"Desconhecido/Inexistente","...<1ano",4,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",29,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",51
"52",52,"Regular",27,"Pago mas já esteve em atraso","carro (usado)",5965,"< 100","> 7",1,"Homem"," solteiro","nenhum",2,"Carro/outro",30,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",52
"53",53,"Inexistente",12,"Pago em dia","rádio/televisão",1262,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",2,"Carro/outro",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",53
"54",54,"Inexistente",18,"Pago em dia","carro (usado)",3378,"Desconhecido/Inexistente","1 - 4",2,"Homem"," solteiro","nenhum",1,"Poupança/
Seguro de vida",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",54
"55",55,"Regular",36,"Pago mas já esteve em atraso","carro (novo)",2225,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",57,"banco","de graça",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",55
"56",56,"Inexistente",6,"Quitados","carro (novo)",783,"Desconhecido/Inexistente","1 - 4",1,"Homem"," solteiro","fiador",2,"Imóvel",26,"lojas","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",56
"57",57,"Regular",12,"Pago em dia","rádio/televisão",6468,"Desconhecido/Inexistente","desempregado",2,"Homem"," solteiro","nenhum",1,"Sem posses/
desconhecido",52,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",57
"58",58,"Inexistente",36,"Pendente (outros bancos)","rádio/televisão",9566,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"Carro/outro",31,"lojas","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",58
"59",59,"Alto",18,"Pago em dia","carro (novo)",1961,"< 100","> 7",3,"Mulher","uniao registrada","nenhum",2,"Carro/outro",23,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",59
"60",60,"Negativo",36,"Pendente (outros bancos)","móveis/equipamentos",6229,"< 100","...<1ano",4,"Mulher","uniao registrada","co-requerente",4,"Sem posses/
desconhecido",23,"nenhum","alugada",2,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",60
"61",61,"Regular",9,"Pago em dia","negócios",1391,"< 100","1 - 4",2,"Homem","uniao registrada","nenhum",1,"Imóvel",27,"banco","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",61
"62",62,"Regular",15,"Pendente (outros bancos)","rádio/televisão",1537,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","fiador",4,"Imóvel",50,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",62
"63",63,"Regular",36,"Quitados","negócios",1953,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",61,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",63
"64",64,"Regular",48,"Quitados","negócios",14421,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"Carro/outro",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",64
"65",65,"Inexistente",24,"Pago em dia","rádio/televisão",3181,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",65
"66",66,"Inexistente",27,"Pago em dia","reparos",5190,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",48,"nenhum","própria",4,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",66
"67",67,"Inexistente",12,"Pago em dia","rádio/televisão",2171,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",2,"Carro/outro",29,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",67
"68",68,"Regular",12,"Pago em dia","carro (novo)",1007,"> 1000","1 - 4",4,"Homem","uniao registrada","nenhum",1,"Imóvel",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",68
"69",69,"Inexistente",36,"Pago em dia","educação",1819,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",37,"lojas","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",69
"70",70,"Inexistente",36,"Pago em dia","rádio/televisão",2394,"Desconhecido/Inexistente","1 - 4",4,"Mulher","uniao registrada","nenhum",4,"Carro/outro",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",70
"71",71,"Inexistente",36,"Pago em dia","carro (usado)",8133,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",2,"Poupança/
Seguro de vida",30,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",71
"72",72,"Inexistente",7,"Pendente (outros bancos)","rádio/televisão",730,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",46,"nenhum","alugada",2,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",72
"73",73,"Negativo",8,"Pendente (outros bancos)","carro (usado)",1164,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",51,"banco","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",73
"74",74,"Regular",42,"Pendente (outros bancos)","negócios",5954,"< 100","4 - 7",2,"Mulher","uniao registrada","nenhum",1,"Imóvel",41,"banco","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",74
"75",75,"Negativo",36,"Pago em dia","educação",1977,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",40,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",75
"76",76,"Negativo",12,"Pendente (outros bancos)","carro (usado)",1526,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",66,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",76
"77",77,"Negativo",42,"Pago em dia","rádio/televisão",3965,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",3,"Carro/outro",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",77
"78",78,"Regular",11,"Pago mas já esteve em atraso","rádio/televisão",4771,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",51,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",78
"79",79,"Inexistente",54,"Quitados","carro (usado)",9436,"Desconhecido/Inexistente","1 - 4",2,"Homem"," solteiro","nenhum",2,"Poupança/
Seguro de vida",39,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",79
"80",80,"Regular",30,"Pago em dia","móveis/equipamentos",3832,"< 100","...<1ano",2,"Homem","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",80
"81",81,"Inexistente",24,"Pago em dia","rádio/televisão",5943,"Desconhecido/Inexistente","...<1ano",1,"Mulher","uniao registrada","nenhum",1,"Carro/outro",44,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",81
"82",82,"Inexistente",15,"Pago em dia","rádio/televisão",1213,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",3,"Poupança/
Seguro de vida",47,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",82
"83",83,"Inexistente",18,"Pago em dia","negócios",1568,"100 - 500","1 - 4",3,"Mulher","uniao registrada","nenhum",4,"Poupança/
Seguro de vida",24,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",83
"84",84,"Negativo",24,"Pago em dia","carro (usado)",1755,"< 100","> 7",4,"Mulher","uniao registrada","fiador",4,"Imóvel",58,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",84
"85",85,"Negativo",10,"Pago em dia","rádio/televisão",2315,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"Imóvel",52,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",85
"86",86,"Inexistente",12,"Pendente (outros bancos)","negócios",1412,"< 100","1 - 4",4,"Mulher","uniao registrada","fiador",2,"Imóvel",29,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",86
"87",87,"Regular",18,"Pendente (outros bancos)","móveis/equipamentos",1295,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",1,"Poupança/
Seguro de vida",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",87
"88",88,"Regular",36,"Pago em dia","educação",12612,"100 - 500","1 - 4",1,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",47,"nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Ruim",88
"89",89,"Negativo",18,"Pago em dia","carro (novo)",2249,"100 - 500","4 - 7",4,"Homem"," solteiro","nenhum",3,"Carro/outro",30,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",89
"90",90,"Negativo",12,"Quitados","reparos",1108,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"Imóvel",28,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",90
"91",91,"Inexistente",12,"Pendente (outros bancos)","rádio/televisão",618,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Imóvel",56,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",91
"92",92,"Negativo",12,"Pendente (outros bancos)","carro (usado)",1409,"< 100","> 7",4,"Homem"," solteiro","nenhum",3,"Imóvel",54,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",92
"93",93,"Inexistente",12,"Pendente (outros bancos)","rádio/televisão",797,"Desconhecido/Inexistente","> 7",4,"Mulher","uniao registrada","nenhum",3,"Poupança/
Seguro de vida",33,"banco","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Ruim",93
"94",94,"Alto",24,"Pendente (outros bancos)","móveis/equipamentos",3617,"Desconhecido/Inexistente","> 7",4,"Homem"," solteiro","co-requerente",4,"Sem posses/
desconhecido",20,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",94
"95",95,"Regular",12,"Pago em dia","carro (novo)",1318,"> 1000","> 7",4,"Homem"," solteiro","nenhum",4,"Imóvel",54,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",95
"96",96,"Regular",54,"Quitados","negócios",15945,"< 100","...<1ano",3,"Homem"," solteiro","nenhum",4,"Sem posses/
desconhecido",58,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",96
"97",97,"Inexistente",12,"Pendente (outros bancos)","educação",2012,"Desconhecido/Inexistente","4 - 7",4,"Mulher","uniao registrada","nenhum",2,"Carro/outro",61,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",97
"98",98,"Regular",18,"Pago em dia","negócios",2622,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",4,"Carro/outro",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",98
"99",99,"Regular",36,"Pendente (outros bancos)","rádio/televisão",2337,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"Imóvel",36,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",99
"100",100,"Regular",20,"Pago mas já esteve em atraso","carro (usado)",7057,"Desconhecido/Inexistente","4 - 7",3,"Homem"," solteiro","nenhum",4,"Poupança/
Seguro de vida",36,"banco","alugada",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",100
"101",101,"Inexistente",24,"Pago em dia","carro (novo)",1469,"100 - 500","> 7",4,"Homem","uniao registrada","nenhum",4,"Imóvel",41,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",101
"102",102,"Regular",36,"Pago em dia","rádio/televisão",2323,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",4,"Carro/outro",24,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",102
"103",103,"Inexistente",6,"Pago mas já esteve em atraso","rádio/televisão",932,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",2,"Imóvel",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",103
"104",104,"Regular",9,"Pendente (outros bancos)","móveis/equipamentos",1919,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"Carro/outro",35,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",104
"105",105,"Inexistente",12,"Pago em dia","carro (usado)",2445,"Desconhecido/Inexistente","...<1ano",2,"Homem","uniao registrada","nenhum",4,"Carro/outro",26,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",105
"106",106,"Regular",24,"Pendente (outros bancos)","carro (usado)",11938,"< 100","1 - 4",2,"Homem"," solteiro","co-requerente",3,"Carro/outro",39,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Ruim",106
