"","status_conta","duracao_mes","hist_credito","proposito","qtdd_credito","reserva","temp_man_empr_atual","percen_tx_rendim_disp","genero","estado_civil","dev_fiadores","tempo_res_atual","patrimonio","idade_anos","outros_par","habitacao","n_creditos","status_ocupacional","n_corresponsaveis","telefone","estrangeiro","classe","ID"
"12","Negativo",48,"Pago em dia","negócios",4308,"< 100","...<1ano",3,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",24,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",12
"13","Regular",12,"Pago em dia","rádio/televisão",1567,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",1,"carro ou outro, não em conta poupança/títulos",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",13
"14","Negativo",24,"Pendente (outros bancos)","carro (novo)",1199,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",60,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",14
"15","Negativo",15,"Pago em dia","carro (novo)",1403,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",28,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",15
"16","Negativo",24,"Pago em dia","rádio/televisão",1282,"100 - 500","1 - 4",4,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",32,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Ruim",16
"17","Inexistente",24,"Pendente (outros bancos)","rádio/televisão",2424,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",53,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",17
"18","Negativo",30,"Quitados","negócios",8072,"desconhecido/semcontapoupança","...<1ano",2,"Homem"," solteiro","nenhum",3,"carro ou outro, não em conta poupança/títulos",25,"banco","própria",3,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",18
"19","Regular",24,"Pago em dia","carro (usado)",12579,"< 100","> 7",4,"Mulher","uniao registrada","nenhum",2,"desconhecido/sem propriedade",44,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",19
"20","Inexistente",24,"Pago em dia","rádio/televisão",3430,"500 - 1000","> 7",3,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",31,"nenhum","própria",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",20
"21","Inexistente",9,"Pendente (outros bancos)","carro (novo)",2134,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",48,"nenhum","própria",3,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",21
"22","Negativo",6,"Pago em dia","rádio/televisão",2647,"500 - 1000","1 - 4",2,"Homem"," solteiro","nenhum",3,"imobiliária",44,"nenhum","alugada",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","Bom",22
"23","Negativo",10,"Pendente (outros bancos)","carro (novo)",2241,"< 100","...<1ano",1,"Homem"," solteiro","nenhum",3,"imobiliária",48,"nenhum","alugada",2,"não qualificado - residente",2,"Nenhum","Não","Bom",23
"24","Regular",12,"Pendente (outros bancos)","carro (usado)",1804,"100 - 500","...<1ano",3,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",44,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",24
"25","Inexistente",10,"Pendente (outros bancos)","móveis/equipamentos",2069,"desconhecido/semcontapoupança","1 - 4",2,"Homem","uniao registrada","nenhum",1,"carro ou outro, não em conta poupança/títulos",26,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","Bom",25
"26","Negativo",6,"Pago em dia","móveis/equipamentos",1374,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",2,"imobiliária",36,"banco","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",26
"27","Inexistente",6,"Quitados","rádio/televisão",426,"< 100","> 7",4,"Homem","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",39,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",27
"28","Alto",12,"Quitados","rádio/televisão",409,"> 1000","1 - 4",3,"Mulher","uniao registrada","nenhum",3,"imobiliária",42,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",28
"29","Regular",7,"Pago em dia","rádio/televisão",2415,"< 100","1 - 4",3,"Homem"," solteiro","fiador",2,"imobiliária",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",29
"30","Negativo",60,"Pago mas já esteve em atraso","negócios",6836,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",63,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",30
"31","Regular",18,"Pago em dia","negócios",1913,"> 1000","...<1ano",3,"Homem","uniao registrada","nenhum",3,"imobiliária",36,"banco","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",31
"32","Negativo",24,"Pago em dia","móveis/equipamentos",4020,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",27,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",32
"33","Regular",18,"Pago em dia","carro (novo)",5866,"100 - 500","1 - 4",2,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",30,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",33
"34","Inexistente",12,"Pendente (outros bancos)","negócios",1264,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",57,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",34
"35","Alto",12,"Pago em dia","móveis/equipamentos",1474,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",1,"contrato de poupança/seguro de vida da sociedade civil",33,"banco","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",35
"36","Regular",45,"Pendente (outros bancos)","rádio/televisão",4746,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",25,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",36
"37","Inexistente",48,"Pendente (outros bancos)","educação",6110,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",3,"desconhecido/sem propriedade",31,"banco","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",37
"38","Alto",18,"Pago em dia","rádio/televisão",2100,"< 100","1 - 4",4,"Homem"," solteiro","co-requerente",2,"imobiliária",37,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",38
"39","Alto",10,"Pago em dia","eletrodomésticos",1225,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",37,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",39
"40","Regular",9,"Pago em dia","rádio/televisão",458,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",3,"imobiliária",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",40
"41","Inexistente",30,"Pago em dia","rádio/televisão",2333,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",30,"banco","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",41
"42","Regular",12,"Pago em dia","rádio/televisão",1158,"500 - 1000","1 - 4",3,"Homem","uniao registrada","nenhum",1,"carro ou outro, não em conta poupança/títulos",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",42
"43","Regular",18,"Pago mas já esteve em atraso","reparos",6204,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",4,"imobiliária",44,"nenhum","própria",1,"não qualificado - residente",2,"Sim, registrado em nome do cliente","Sim","Bom",43
"44","Negativo",30,"Pendente (outros bancos)","carro (usado)",6187,"100 - 500","4 - 7",1,"Homem","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",24,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",44
"45","Negativo",48,"Pendente (outros bancos)","carro (usado)",6143,"< 100","> 7",4,"Mulher","uniao registrada","nenhum",4,"desconhecido/sem propriedade",58,"lojas","de graça",2,"não qualificado - residente",1,"Nenhum","Sim","Ruim",45
"46","Inexistente",11,"Pendente (outros bancos)","carro (novo)",1393,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",35,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",46
"47","Inexistente",36,"Pago em dia","rádio/televisão",2299,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",39,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",47
"48","Negativo",6,"Pago em dia","carro (usado)",1352,"500 - 1000","desempregado",1,"Mulher","uniao registrada","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",23,"nenhum","alugada",1,"desempregado/não qualificado - não residente",1,"Sim, registrado em nome do cliente","Sim","Bom",48
"49","Inexistente",11,"Pendente (outros bancos)","carro (novo)",7228,"< 100","1 - 4",1,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",39,"nenhum","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",49
"50","Inexistente",12,"Pago em dia","rádio/televisão",2073,"100 - 500","1 - 4",4,"Mulher","uniao registrada","co-requerente",2,"imobiliária",28,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",50
"51","Regular",24,"Pago mas já esteve em atraso","móveis/equipamentos",2333,"desconhecido/semcontapoupança","...<1ano",4,"Homem"," solteiro","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",29,"banco","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",51
"52","Regular",27,"Pago mas já esteve em atraso","carro (usado)",5965,"< 100","> 7",1,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",30,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",52
"53","Inexistente",12,"Pago em dia","rádio/televisão",1262,"< 100","1 - 4",3,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",53
"54","Inexistente",18,"Pago em dia","carro (usado)",3378,"desconhecido/semcontapoupança","1 - 4",2,"Homem"," solteiro","nenhum",1,"contrato de poupança/seguro de vida da sociedade civil",31,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",54
"55","Regular",36,"Pago mas já esteve em atraso","carro (novo)",2225,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",57,"banco","de graça",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",55
"56","Inexistente",6,"Quitados","carro (novo)",783,"desconhecido/semcontapoupança","1 - 4",1,"Homem"," solteiro","fiador",2,"imobiliária",26,"lojas","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",56
"57","Regular",12,"Pago em dia","rádio/televisão",6468,"desconhecido/semcontapoupança","desempregado",2,"Homem"," solteiro","nenhum",1,"desconhecido/sem propriedade",52,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",57
"58","Inexistente",36,"Pendente (outros bancos)","rádio/televisão",9566,"< 100","1 - 4",2,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",31,"lojas","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",58
"59","Alto",18,"Pago em dia","carro (novo)",1961,"< 100","> 7",3,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",23,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",59
"60","Negativo",36,"Pendente (outros bancos)","móveis/equipamentos",6229,"< 100","...<1ano",4,"Mulher","uniao registrada","co-requerente",4,"desconhecido/sem propriedade",23,"nenhum","alugada",2,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Ruim",60
"61","Regular",9,"Pago em dia","negócios",1391,"< 100","1 - 4",2,"Homem","uniao registrada","nenhum",1,"imobiliária",27,"banco","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",61
"62","Regular",15,"Pendente (outros bancos)","rádio/televisão",1537,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","fiador",4,"imobiliária",50,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",62
"63","Regular",36,"Quitados","negócios",1953,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",61,"nenhum","de graça",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",63
"64","Regular",48,"Quitados","negócios",14421,"< 100","1 - 4",2,"Homem"," solteiro","nenhum",2,"carro ou outro, não em conta poupança/títulos",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",64
"65","Inexistente",24,"Pago em dia","rádio/televisão",3181,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",26,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",65
"66","Inexistente",27,"Pago em dia","reparos",5190,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",48,"nenhum","própria",4,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",66
"67","Inexistente",12,"Pago em dia","rádio/televisão",2171,"< 100","...<1ano",2,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",29,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",67
"68","Regular",12,"Pago em dia","carro (novo)",1007,"> 1000","1 - 4",4,"Homem","uniao registrada","nenhum",1,"imobiliária",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",68
"69","Inexistente",36,"Pago em dia","educação",1819,"< 100","1 - 4",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",37,"lojas","de graça",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",69
"70","Inexistente",36,"Pago em dia","rádio/televisão",2394,"desconhecido/semcontapoupança","1 - 4",4,"Mulher","uniao registrada","nenhum",4,"carro ou outro, não em conta poupança/títulos",25,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",70
"71","Inexistente",36,"Pago em dia","carro (usado)",8133,"< 100","1 - 4",1,"Mulher","uniao registrada","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",30,"banco","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",71
"72","Inexistente",7,"Pendente (outros bancos)","rádio/televisão",730,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",46,"nenhum","alugada",2,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",72
"73","Negativo",8,"Pendente (outros bancos)","carro (usado)",1164,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",51,"banco","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",73
"74","Regular",42,"Pendente (outros bancos)","negócios",5954,"< 100","4 - 7",2,"Mulher","uniao registrada","nenhum",1,"imobiliária",41,"banco","própria",2,"não qualificado - residente",1,"Nenhum","Sim","Bom",74
"75","Negativo",36,"Pago em dia","educação",1977,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",40,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",75
"76","Negativo",12,"Pendente (outros bancos)","carro (usado)",1526,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",66,"nenhum","de graça",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Nenhum","Sim","Bom",76
"77","Negativo",42,"Pago em dia","rádio/televisão",3965,"< 100","...<1ano",4,"Homem"," solteiro","nenhum",3,"carro ou outro, não em conta poupança/títulos",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",77
"78","Regular",11,"Pago mas já esteve em atraso","rádio/televisão",4771,"< 100","4 - 7",2,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",51,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",78
"79","Inexistente",54,"Quitados","carro (usado)",9436,"desconhecido/semcontapoupança","1 - 4",2,"Homem"," solteiro","nenhum",2,"contrato de poupança/seguro de vida da sociedade civil",39,"nenhum","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Bom",79
"80","Regular",30,"Pago em dia","móveis/equipamentos",3832,"< 100","...<1ano",2,"Homem","uniao registrada","nenhum",1,"contrato de poupança/seguro de vida da sociedade civil",22,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",80
"81","Inexistente",24,"Pago em dia","rádio/televisão",5943,"desconhecido/semcontapoupança","...<1ano",1,"Mulher","uniao registrada","nenhum",1,"carro ou outro, não em conta poupança/títulos",44,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",81
"82","Inexistente",15,"Pago em dia","rádio/televisão",1213,"500 - 1000","> 7",4,"Homem"," solteiro","nenhum",3,"contrato de poupança/seguro de vida da sociedade civil",47,"lojas","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",82
"83","Inexistente",18,"Pago em dia","negócios",1568,"100 - 500","1 - 4",3,"Mulher","uniao registrada","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",24,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",83
"84","Negativo",24,"Pago em dia","carro (usado)",1755,"< 100","> 7",4,"Mulher","uniao registrada","fiador",4,"imobiliária",58,"nenhum","própria",1,"não qualificado - residente",1,"Sim, registrado em nome do cliente","Sim","Bom",84
"85","Negativo",10,"Pago em dia","rádio/televisão",2315,"< 100","> 7",3,"Homem"," solteiro","nenhum",4,"imobiliária",52,"nenhum","própria",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",85
"86","Inexistente",12,"Pendente (outros bancos)","negócios",1412,"< 100","1 - 4",4,"Mulher","uniao registrada","fiador",2,"imobiliária",29,"nenhum","própria",2,"gestão / autônomo / funcionário / diretor altamente qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",86
"87","Regular",18,"Pendente (outros bancos)","móveis/equipamentos",1295,"< 100","...<1ano",4,"Mulher","uniao registrada","nenhum",1,"contrato de poupança/seguro de vida da sociedade civil",27,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",87
"88","Regular",36,"Pago em dia","educação",12612,"100 - 500","1 - 4",1,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",47,"nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Sim, registrado em nome do cliente","Sim","Ruim",88
"89","Negativo",18,"Pago em dia","carro (novo)",2249,"100 - 500","4 - 7",4,"Homem"," solteiro","nenhum",3,"carro ou outro, não em conta poupança/títulos",30,"nenhum","própria",1,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",89
"90","Negativo",12,"Quitados","reparos",1108,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"imobiliária",28,"nenhum","própria",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Ruim",90
"91","Inexistente",12,"Pendente (outros bancos)","rádio/televisão",618,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",56,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",91
"92","Negativo",12,"Pendente (outros bancos)","carro (usado)",1409,"< 100","> 7",4,"Homem"," solteiro","nenhum",3,"imobiliária",54,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",92
"93","Inexistente",12,"Pendente (outros bancos)","rádio/televisão",797,"desconhecido/semcontapoupança","> 7",4,"Mulher","uniao registrada","nenhum",3,"contrato de poupança/seguro de vida da sociedade civil",33,"banco","própria",1,"não qualificado - residente",2,"Nenhum","Sim","Ruim",93
"94","Alto",24,"Pendente (outros bancos)","móveis/equipamentos",3617,"desconhecido/semcontapoupança","> 7",4,"Homem"," solteiro","co-requerente",4,"desconhecido/sem propriedade",20,"nenhum","alugada",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",94
"95","Regular",12,"Pago em dia","carro (novo)",1318,"> 1000","> 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",54,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",95
"96","Regular",54,"Quitados","negócios",15945,"< 100","...<1ano",3,"Homem"," solteiro","nenhum",4,"desconhecido/sem propriedade",58,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Ruim",96
"97","Inexistente",12,"Pendente (outros bancos)","educação",2012,"desconhecido/semcontapoupança","4 - 7",4,"Mulher","uniao registrada","nenhum",2,"carro ou outro, não em conta poupança/títulos",61,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",97
"98","Regular",18,"Pago em dia","negócios",2622,"100 - 500","1 - 4",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",34,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",98
"99","Regular",36,"Pendente (outros bancos)","rádio/televisão",2337,"< 100","> 7",4,"Homem"," solteiro","nenhum",4,"imobiliária",36,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",99
"100","Regular",20,"Pago mas já esteve em atraso","carro (usado)",7057,"desconhecido/semcontapoupança","4 - 7",3,"Homem"," solteiro","nenhum",4,"contrato de poupança/seguro de vida da sociedade civil",36,"banco","alugada",2,"gestão / autônomo / funcionário / diretor altamente qualificado",2,"Sim, registrado em nome do cliente","Sim","Bom",100
"101","Inexistente",24,"Pago em dia","carro (novo)",1469,"100 - 500","> 7",4,"Homem","uniao registrada","nenhum",4,"imobiliária",41,"nenhum","alugada",1,"não qualificado - residente",1,"Nenhum","Sim","Bom",101
"102","Regular",36,"Pago em dia","rádio/televisão",2323,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",4,"carro ou outro, não em conta poupança/títulos",24,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",102
"103","Inexistente",6,"Pago mas já esteve em atraso","rádio/televisão",932,"< 100","1 - 4",3,"Mulher","uniao registrada","nenhum",2,"imobiliária",24,"nenhum","própria",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","Bom",103
"104","Regular",9,"Pendente (outros bancos)","móveis/equipamentos",1919,"< 100","4 - 7",4,"Homem"," solteiro","nenhum",3,"carro ou outro, não em conta poupança/títulos",35,"nenhum","alugada",1,"funcionário/funcionário qualificado",1,"Sim, registrado em nome do cliente","Sim","Bom",104
