ID,status_conta,duracao_mes,hist_credito,qtdd_credito,percen_tx_rendim_disp,dev_fiadores,outros_par,n_creditos,classe
169,Inexistente,24,créditos existentes pagos devidamente até agora,3972,2,nenhum,nenhum,1,Bom
170,Regular,24,conta crítica/outros créditos existentes (não neste banco),1935,4,nenhum,nenhum,2,Ruim
171,Negativo,15,nenhum crédito obtido/todos os créditos pagos devidamente,950,4,nenhum,nenhum,2,Ruim
172,Inexistente,12,créditos existentes pagos devidamente até agora,763,4,nenhum,nenhum,1,Bom
173,Regular,24,atraso no pagamento no passado,2064,3,nenhum,nenhum,1,Ruim
174,Regular,8,créditos existentes pagos devidamente até agora,1414,4,fiador,nenhum,1,Bom
175,Negativo,21,atraso no pagamento no passado,3414,2,nenhum,nenhum,2,Ruim
176,Inexistente,30,todos os créditos deste banco foram devidamente pagos,7485,4,nenhum,banco,1,Ruim
177,Negativo,12,créditos existentes pagos devidamente até agora,2577,2,nenhum,nenhum,1,Bom
178,Negativo,6,conta crítica/outros créditos existentes (não neste banco),338,4,nenhum,nenhum,2,Bom
179,Inexistente,12,créditos existentes pagos devidamente até agora,1963,4,nenhum,nenhum,2,Bom
180,Negativo,21,conta crítica/outros créditos existentes (não neste banco),571,4,nenhum,nenhum,2,Bom
181,Inexistente,36,atraso no pagamento no passado,9572,1,nenhum,nenhum,2,Ruim
182,Regular,36,atraso no pagamento no passado,4455,2,nenhum,lojas,2,Ruim
183,Negativo,21,todos os créditos deste banco foram devidamente pagos,1647,4,nenhum,nenhum,2,Ruim
184,Inexistente,24,conta crítica/outros créditos existentes (não neste banco),3777,4,nenhum,nenhum,1,Bom
185,Regular,18,conta crítica/outros créditos existentes (não neste banco),884,4,nenhum,banco,1,Ruim
186,Inexistente,15,conta crítica/outros créditos existentes (não neste banco),1360,4,nenhum,nenhum,2,Bom
187,Regular,9,todos os créditos deste banco foram devidamente pagos,5129,2,nenhum,banco,1,Ruim
188,Regular,16,conta crítica/outros créditos existentes (não neste banco),1175,2,nenhum,nenhum,3,Bom
189,Negativo,12,créditos existentes pagos devidamente até agora,674,4,nenhum,nenhum,1,Ruim
190,Regular,18,nenhum crédito obtido/todos os créditos pagos devidamente,3244,1,nenhum,banco,2,Bom
191,Inexistente,24,créditos existentes pagos devidamente até agora,4591,2,nenhum,nenhum,3,Ruim
192,Regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,3844,4,nenhum,nenhum,1,Ruim
193,Regular,27,créditos existentes pagos devidamente até agora,3915,4,nenhum,nenhum,1,Ruim
194,Inexistente,6,créditos existentes pagos devidamente até agora,2108,2,nenhum,nenhum,1,Bom
195,Regular,45,créditos existentes pagos devidamente até agora,3031,4,fiador,nenhum,1,Ruim
196,Regular,9,conta crítica/outros créditos existentes (não neste banco),1501,2,nenhum,nenhum,2,Ruim
197,Inexistente,6,conta crítica/outros créditos existentes (não neste banco),1382,1,nenhum,nenhum,2,Bom
198,Regular,12,créditos existentes pagos devidamente até agora,951,4,nenhum,banco,4,Ruim
199,Regular,24,créditos existentes pagos devidamente até agora,2760,4,nenhum,banco,1,Bom
200,Regular,18,atraso no pagamento no passado,4297,4,nenhum,nenhum,1,Ruim
201,Inexistente,9,conta crítica/outros créditos existentes (não neste banco),936,4,nenhum,nenhum,2,Bom
202,Negativo,12,créditos existentes pagos devidamente até agora,1168,4,nenhum,nenhum,1,Bom
203,Inexistente,27,atraso no pagamento no passado,5117,3,nenhum,nenhum,2,Bom
204,Negativo,12,créditos existentes pagos devidamente até agora,902,4,nenhum,nenhum,1,Ruim
205,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1495,4,nenhum,nenhum,2,Bom
206,Negativo,30,conta crítica/outros créditos existentes (não neste banco),10623,3,nenhum,nenhum,3,Bom
207,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1935,4,nenhum,nenhum,3,Bom
208,Regular,12,conta crítica/outros créditos existentes (não neste banco),1424,4,nenhum,nenhum,1,Bom
209,Negativo,24,créditos existentes pagos devidamente até agora,6568,2,nenhum,lojas,1,Bom
210,Inexistente,12,créditos existentes pagos devidamente até agora,1413,3,nenhum,nenhum,1,Bom
211,Inexistente,9,conta crítica/outros créditos existentes (não neste banco),3074,1,nenhum,nenhum,2,Bom
212,Inexistente,36,créditos existentes pagos devidamente até agora,3835,2,nenhum,nenhum,1,Bom
213,Negativo,27,nenhum crédito obtido/todos os créditos pagos devidamente,5293,2,nenhum,lojas,2,Ruim
214,Alto,30,atraso no pagamento no passado,1908,4,nenhum,nenhum,1,Ruim
215,Inexistente,36,conta crítica/outros créditos existentes (não neste banco),3342,4,nenhum,nenhum,1,Bom
216,Regular,6,conta crítica/outros créditos existentes (não neste banco),932,1,nenhum,nenhum,2,Bom
217,Negativo,18,nenhum crédito obtido/todos os créditos pagos devidamente,3104,3,nenhum,banco,1,Bom
218,Alto,36,créditos existentes pagos devidamente até agora,3913,2,nenhum,nenhum,1,Bom
219,Negativo,24,créditos existentes pagos devidamente até agora,3021,2,nenhum,nenhum,1,Bom
220,Inexistente,10,créditos existentes pagos devidamente até agora,1364,2,nenhum,nenhum,1,Bom
221,Regular,12,créditos existentes pagos devidamente até agora,625,4,fiador,banco,1,Bom
222,Negativo,12,créditos existentes pagos devidamente até agora,1200,4,nenhum,banco,1,Bom
223,Inexistente,12,créditos existentes pagos devidamente até agora,707,4,nenhum,banco,2,Bom
224,Inexistente,24,atraso no pagamento no passado,2978,4,nenhum,nenhum,2,Bom
225,Inexistente,15,créditos existentes pagos devidamente até agora,4657,3,nenhum,nenhum,1,Bom
226,Inexistente,36,nenhum crédito obtido/todos os créditos pagos devidamente,2613,4,nenhum,nenhum,2,Bom
227,Regular,48,créditos existentes pagos devidamente até agora,10961,1,co-requerente,banco,2,Ruim
228,Negativo,12,créditos existentes pagos devidamente até agora,7865,4,nenhum,nenhum,1,Ruim
229,Inexistente,9,créditos existentes pagos devidamente até agora,1478,4,nenhum,nenhum,1,Ruim
230,Negativo,24,créditos existentes pagos devidamente até agora,3149,4,nenhum,banco,1,Bom
231,Alto,36,créditos existentes pagos devidamente até agora,4210,4,nenhum,nenhum,1,Ruim
232,Inexistente,9,créditos existentes pagos devidamente até agora,2507,2,nenhum,nenhum,1,Bom
233,Inexistente,12,créditos existentes pagos devidamente até agora,2141,3,nenhum,nenhum,1,Bom
234,Regular,18,créditos existentes pagos devidamente até agora,866,4,fiador,nenhum,1,Bom
235,Inexistente,4,conta crítica/outros créditos existentes (não neste banco),1544,2,nenhum,nenhum,3,Bom
236,Negativo,24,créditos existentes pagos devidamente até agora,1823,4,nenhum,lojas,1,Ruim
237,Regular,6,créditos existentes pagos devidamente até agora,14555,1,nenhum,nenhum,1,Ruim
238,Regular,21,créditos existentes pagos devidamente até agora,2767,4,nenhum,banco,2,Ruim
239,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1291,4,nenhum,nenhum,2,Bom
240,Negativo,30,créditos existentes pagos devidamente até agora,2522,1,fiador,nenhum,1,Bom
241,Negativo,24,créditos existentes pagos devidamente até agora,915,4,nenhum,banco,1,Ruim
242,Inexistente,6,créditos existentes pagos devidamente até agora,1595,3,nenhum,nenhum,1,Bom
243,Negativo,48,nenhum crédito obtido/todos os créditos pagos devidamente,4605,3,nenhum,nenhum,2,Ruim
244,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1185,3,nenhum,nenhum,2,Bom
245,Inexistente,12,todos os créditos deste banco foram devidamente pagos,3447,4,nenhum,nenhum,1,Bom
246,Inexistente,24,créditos existentes pagos devidamente até agora,1258,4,nenhum,nenhum,1,Bom
247,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),717,4,nenhum,nenhum,3,Bom
248,Inexistente,6,nenhum crédito obtido/todos os créditos pagos devidamente,1204,4,nenhum,banco,1,Bom
249,Alto,24,créditos existentes pagos devidamente até agora,1925,2,nenhum,nenhum,1,Bom
250,Inexistente,18,créditos existentes pagos devidamente até agora,433,3,co-requerente,nenhum,1,Ruim
251,Negativo,6,conta crítica/outros créditos existentes (não neste banco),666,3,nenhum,nenhum,2,Bom
252,Alto,12,créditos existentes pagos devidamente até agora,2251,1,nenhum,nenhum,1,Bom
253,Regular,30,créditos existentes pagos devidamente até agora,2150,4,fiador,banco,1,Ruim
254,Inexistente,24,atraso no pagamento no passado,4151,2,nenhum,nenhum,2,Bom
255,Regular,9,créditos existentes pagos devidamente até agora,2030,2,nenhum,nenhum,1,Bom
256,Regular,60,atraso no pagamento no passado,7418,1,nenhum,nenhum,1,Bom
257,Inexistente,24,conta crítica/outros créditos existentes (não neste banco),2684,4,nenhum,nenhum,2,Bom
258,Negativo,12,todos os créditos deste banco foram devidamente pagos,2149,4,nenhum,nenhum,1,Ruim
259,Inexistente,15,créditos existentes pagos devidamente até agora,3812,1,nenhum,nenhum,1,Bom
260,Inexistente,11,conta crítica/outros créditos existentes (não neste banco),1154,4,nenhum,nenhum,3,Bom
261,Negativo,12,créditos existentes pagos devidamente até agora,1657,2,nenhum,nenhum,1,Bom
262,Negativo,24,créditos existentes pagos devidamente até agora,1603,4,nenhum,nenhum,1,Bom
263,Negativo,18,conta crítica/outros créditos existentes (não neste banco),5302,2,nenhum,nenhum,3,Bom
264,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),2748,2,nenhum,banco,3,Bom
265,Inexistente,10,conta crítica/outros créditos existentes (não neste banco),1231,3,nenhum,nenhum,2,Bom
266,Regular,15,créditos existentes pagos devidamente até agora,802,4,nenhum,nenhum,1,Ruim
267,Inexistente,36,conta crítica/outros créditos existentes (não neste banco),6304,4,nenhum,nenhum,2,Bom
268,Inexistente,24,créditos existentes pagos devidamente até agora,1533,4,nenhum,lojas,1,Bom
269,Negativo,14,créditos existentes pagos devidamente até agora,8978,1,nenhum,nenhum,1,Ruim
270,Inexistente,24,créditos existentes pagos devidamente até agora,999,4,nenhum,nenhum,2,Bom
271,Inexistente,18,créditos existentes pagos devidamente até agora,2662,4,nenhum,nenhum,1,Bom
272,Inexistente,12,conta crítica/outros créditos existentes (não neste banco),1402,3,nenhum,nenhum,1,Bom
273,Regular,48,todos os créditos deste banco foram devidamente pagos,12169,4,co-requerente,nenhum,1,Bom
274,Regular,48,créditos existentes pagos devidamente até agora,3060,4,nenhum,nenhum,2,Ruim
275,Negativo,30,créditos existentes pagos devidamente até agora,11998,1,nenhum,nenhum,1,Ruim
276,Inexistente,9,créditos existentes pagos devidamente até agora,2697,1,nenhum,nenhum,1,Bom
277,Inexistente,18,conta crítica/outros créditos existentes (não neste banco),2404,2,nenhum,nenhum,2,Bom
278,Negativo,12,créditos existentes pagos devidamente até agora,1262,2,nenhum,nenhum,1,Bom
279,Inexistente,6,créditos existentes pagos devidamente até agora,4611,1,nenhum,nenhum,1,Ruim
280,Inexistente,24,créditos existentes pagos devidamente até agora,1901,4,nenhum,nenhum,1,Bom
281,Inexistente,15,conta crítica/outros créditos existentes (não neste banco),3368,3,nenhum,nenhum,2,Bom
282,Inexistente,12,créditos existentes pagos devidamente até agora,1574,4,nenhum,nenhum,1,Bom
283,Alto,18,todos os créditos deste banco foram devidamente pagos,1445,4,nenhum,banco,1,Bom
284,Inexistente,15,conta crítica/outros créditos existentes (não neste banco),1520,4,nenhum,nenhum,1,Bom
285,Regular,24,conta crítica/outros créditos existentes (não neste banco),3878,4,nenhum,nenhum,1,Bom
286,Negativo,47,créditos existentes pagos devidamente até agora,10722,1,nenhum,nenhum,1,Bom
287,Negativo,48,créditos existentes pagos devidamente até agora,4788,4,nenhum,nenhum,1,Bom
288,Regular,48,atraso no pagamento no passado,7582,2,nenhum,nenhum,1,Bom
