status_conta,duracao_mes,hist_credito,proposito,qtdd_credito,reserva,temp_man_empr_atual,percen_tx_rendim_disp,genero,estado_civil,dev_fiadores,tempo_res_atual,patrimonio,idade_anos,outros_par,habitacao,n_creditos,status_ocupacional,n_corresponsaveis,telefone,estrangeiro,classe,ID
Regular,12,Em aberto mas em dia,carro (novo),1295,< 100,...<1ano,3,Mulher,uniao registrada,nenhum,1,Carro/outro,25,nenhum,alugada,1,"Empregado
qualificado",1,Nenhum,Sim,Ruim,11
Negativo,48,Em aberto mas em dia,negócios,4308,< 100,...<1ano,3,Mulher,uniao registrada,nenhum,4,"Poupança/
Seguro de vida",24,nenhum,alugada,1,"Empregado
qualificado",1,Nenhum,Sim,Ruim,12
Regular,12,Em aberto mas em dia,rádio/televisão,1567,< 100,1 - 4,1,Mulher,uniao registrada,nenhum,1,Carro/outro,22,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,13
Negativo,24,conta crítica/outros créditos existentes (não neste banco),carro (novo),1199,< 100,> 7,4,Homem, solteiro,nenhum,4,Carro/outro,60,nenhum,própria,2,"Desempregado/
não qualificado",1,Nenhum,Sim,Ruim,14
Negativo,15,Em aberto mas em dia,carro (novo),1403,< 100,1 - 4,2,Mulher,uniao registrada,nenhum,4,Carro/outro,28,nenhum,alugada,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,15
Negativo,24,Em aberto mas em dia,rádio/televisão,1282,100 - 500,1 - 4,4,Mulher,uniao registrada,nenhum,2,Carro/outro,32,nenhum,própria,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Ruim,16
Inexistente,24,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,2424,Desconhecido/Inexistente,> 7,4,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",53,nenhum,própria,2,"Empregado
qualificado",1,Nenhum,Sim,Bom,17
Negativo,30,Quitados,negócios,8072,Desconhecido/Inexistente,...<1ano,2,Homem, solteiro,nenhum,3,Carro/outro,25,banco,própria,3,"Empregado
qualificado",1,Nenhum,Sim,Bom,18
Regular,24,Em aberto mas em dia,carro (usado),12579,< 100,> 7,4,Mulher,uniao registrada,nenhum,2,"Sem posses/
desconhecido",44,nenhum,de graça,1,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,19
Inexistente,24,Em aberto mas em dia,rádio/televisão,3430,500 - 1000,> 7,3,Homem, solteiro,nenhum,2,Carro/outro,31,nenhum,própria,1,"Empregado
qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,20
Inexistente,9,conta crítica/outros créditos existentes (não neste banco),carro (novo),2134,< 100,1 - 4,4,Homem, solteiro,nenhum,4,Carro/outro,48,nenhum,própria,3,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,21
Negativo,6,Em aberto mas em dia,rádio/televisão,2647,500 - 1000,1 - 4,2,Homem, solteiro,nenhum,3,Imóvel,44,nenhum,alugada,1,"Empregado
qualificado",2,Nenhum,Sim,Bom,22
Negativo,10,conta crítica/outros créditos existentes (não neste banco),carro (novo),2241,< 100,...<1ano,1,Homem, solteiro,nenhum,3,Imóvel,48,nenhum,alugada,2,"Desempregado/
não qualificado",2,Nenhum,Não,Bom,23
Regular,12,conta crítica/outros créditos existentes (não neste banco),carro (usado),1804,100 - 500,...<1ano,3,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",44,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,24
Inexistente,10,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,2069,Desconhecido/Inexistente,1 - 4,2,Homem,uniao registrada,nenhum,1,Carro/outro,26,nenhum,própria,2,"Empregado
qualificado",1,Nenhum,Não,Bom,25
Negativo,6,Em aberto mas em dia,móveis/equipamentos,1374,< 100,1 - 4,1,Homem, solteiro,nenhum,2,Imóvel,36,banco,própria,1,"Desempregado/
não qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,26
Inexistente,6,Quitados,rádio/televisão,426,< 100,> 7,4,Homem,uniao registrada,nenhum,4,Carro/outro,39,nenhum,própria,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,27
Alto,12,Quitados,rádio/televisão,409,> 1000,1 - 4,3,Mulher,uniao registrada,nenhum,3,Imóvel,42,nenhum,alugada,2,"Empregado
qualificado",1,Nenhum,Sim,Bom,28
Regular,7,Em aberto mas em dia,rádio/televisão,2415,< 100,1 - 4,3,Homem, solteiro,fiador,2,Imóvel,34,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,29
Negativo,60,Pago mas já esteve em atraso,negócios,6836,< 100,> 7,3,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",63,nenhum,própria,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,30
Regular,18,Em aberto mas em dia,negócios,1913,> 1000,...<1ano,3,Homem,uniao registrada,nenhum,3,Imóvel,36,banco,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,31
Negativo,24,Em aberto mas em dia,móveis/equipamentos,4020,< 100,1 - 4,2,Homem, solteiro,nenhum,2,Carro/outro,27,lojas,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,32
Regular,18,Em aberto mas em dia,carro (novo),5866,100 - 500,1 - 4,2,Homem, solteiro,nenhum,2,Carro/outro,30,nenhum,própria,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,33
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),negócios,1264,Desconhecido/Inexistente,> 7,4,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",57,nenhum,alugada,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,34
Alto,12,Em aberto mas em dia,móveis/equipamentos,1474,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,1,"Poupança/
Seguro de vida",33,banco,própria,1,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,35
Regular,45,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,4746,< 100,...<1ano,4,Homem, solteiro,nenhum,2,"Poupança/
Seguro de vida",25,nenhum,própria,2,"Desempregado/
não qualificado",1,Nenhum,Sim,Ruim,36
Inexistente,48,conta crítica/outros créditos existentes (não neste banco),educação,6110,< 100,1 - 4,1,Homem, solteiro,nenhum,3,"Sem posses/
desconhecido",31,banco,de graça,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,37
Alto,18,Em aberto mas em dia,rádio/televisão,2100,< 100,1 - 4,4,Homem, solteiro,co-requerente,2,Imóvel,37,lojas,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Ruim,38
Alto,10,Em aberto mas em dia,eletrodomésticos,1225,< 100,1 - 4,2,Homem, solteiro,nenhum,2,Carro/outro,37,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,39
Regular,9,Em aberto mas em dia,rádio/televisão,458,< 100,1 - 4,4,Homem, solteiro,nenhum,3,Imóvel,24,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,40
Inexistente,30,Em aberto mas em dia,rádio/televisão,2333,500 - 1000,> 7,4,Homem, solteiro,nenhum,2,Carro/outro,30,banco,própria,1,"Empregado em 
 cargo superior
 qualificado",1,Nenhum,Sim,Bom,41
Regular,12,Em aberto mas em dia,rádio/televisão,1158,500 - 1000,1 - 4,3,Homem,uniao registrada,nenhum,1,Carro/outro,26,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,42
Regular,18,Pago mas já esteve em atraso,reparos,6204,< 100,1 - 4,2,Homem, solteiro,nenhum,4,Imóvel,44,nenhum,própria,1,"Desempregado/
não qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,43
Negativo,30,conta crítica/outros créditos existentes (não neste banco),carro (usado),6187,100 - 500,4 - 7,1,Homem,uniao registrada,nenhum,4,Carro/outro,24,nenhum,alugada,2,"Empregado
qualificado",1,Nenhum,Sim,Bom,44
Negativo,48,conta crítica/outros créditos existentes (não neste banco),carro (usado),6143,< 100,> 7,4,Mulher,uniao registrada,nenhum,4,"Sem posses/
desconhecido",58,lojas,de graça,2,"Desempregado/
não qualificado",1,Nenhum,Sim,Ruim,45
Inexistente,11,conta crítica/outros créditos existentes (não neste banco),carro (novo),1393,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,4,Carro/outro,35,nenhum,própria,2,"Empregado em 
 cargo superior
 qualificado",1,Nenhum,Sim,Bom,46
Inexistente,36,Em aberto mas em dia,rádio/televisão,2299,500 - 1000,> 7,4,Homem, solteiro,nenhum,4,Carro/outro,39,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,47
Negativo,6,Em aberto mas em dia,carro (usado),1352,500 - 1000,desempregado,1,Mulher,uniao registrada,nenhum,2,"Poupança/
Seguro de vida",23,nenhum,alugada,1,"Desempregado/
não qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,48
Inexistente,11,conta crítica/outros créditos existentes (não neste banco),carro (novo),7228,< 100,1 - 4,1,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",39,nenhum,própria,2,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,49
Inexistente,12,Em aberto mas em dia,rádio/televisão,2073,100 - 500,1 - 4,4,Mulher,uniao registrada,co-requerente,2,Imóvel,28,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,50
Regular,24,Pago mas já esteve em atraso,móveis/equipamentos,2333,Desconhecido/Inexistente,...<1ano,4,Homem, solteiro,nenhum,2,"Poupança/
Seguro de vida",29,banco,própria,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,51
Regular,27,Pago mas já esteve em atraso,carro (usado),5965,< 100,> 7,1,Homem, solteiro,nenhum,2,Carro/outro,30,nenhum,própria,2,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,52
Inexistente,12,Em aberto mas em dia,rádio/televisão,1262,< 100,1 - 4,3,Homem, solteiro,nenhum,2,Carro/outro,25,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,53
Inexistente,18,Em aberto mas em dia,carro (usado),3378,Desconhecido/Inexistente,1 - 4,2,Homem, solteiro,nenhum,1,"Poupança/
Seguro de vida",31,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,54
Regular,36,Pago mas já esteve em atraso,carro (novo),2225,< 100,> 7,4,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",57,banco,de graça,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,55
Inexistente,6,Quitados,carro (novo),783,Desconhecido/Inexistente,1 - 4,1,Homem, solteiro,fiador,2,Imóvel,26,lojas,própria,1,"Desempregado/
não qualificado",2,Nenhum,Sim,Bom,56
Regular,12,Em aberto mas em dia,rádio/televisão,6468,Desconhecido/Inexistente,desempregado,2,Homem, solteiro,nenhum,1,"Sem posses/
desconhecido",52,nenhum,própria,1,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,57
Inexistente,36,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,9566,< 100,1 - 4,2,Mulher,uniao registrada,nenhum,2,Carro/outro,31,lojas,própria,2,"Empregado
qualificado",1,Nenhum,Sim,Bom,58
Alto,18,Em aberto mas em dia,carro (novo),1961,< 100,> 7,3,Mulher,uniao registrada,nenhum,2,Carro/outro,23,nenhum,própria,1,"Empregado em 
 cargo superior
 qualificado",1,Nenhum,Sim,Bom,59
Negativo,36,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,6229,< 100,...<1ano,4,Mulher,uniao registrada,co-requerente,4,"Sem posses/
desconhecido",23,nenhum,alugada,2,"Desempregado/
não qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,60
Regular,9,Em aberto mas em dia,negócios,1391,< 100,1 - 4,2,Homem,uniao registrada,nenhum,1,Imóvel,27,banco,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,61
Regular,15,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,1537,Desconhecido/Inexistente,> 7,4,Homem, solteiro,fiador,4,Imóvel,50,nenhum,própria,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,62
Regular,36,Quitados,negócios,1953,< 100,> 7,4,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",61,nenhum,de graça,1,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,63
Regular,48,Quitados,negócios,14421,< 100,1 - 4,2,Homem, solteiro,nenhum,2,Carro/outro,25,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,64
Inexistente,24,Em aberto mas em dia,rádio/televisão,3181,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,4,"Poupança/
Seguro de vida",26,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,65
Inexistente,27,Em aberto mas em dia,reparos,5190,Desconhecido/Inexistente,> 7,4,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",48,nenhum,própria,4,"Empregado
qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,66
Inexistente,12,Em aberto mas em dia,rádio/televisão,2171,< 100,...<1ano,2,Mulher,uniao registrada,nenhum,2,Carro/outro,29,banco,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,67
Regular,12,Em aberto mas em dia,carro (novo),1007,> 1000,1 - 4,4,Homem,uniao registrada,nenhum,1,Imóvel,22,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,68
Inexistente,36,Em aberto mas em dia,educação,1819,< 100,1 - 4,4,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",37,lojas,de graça,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,69
Inexistente,36,Em aberto mas em dia,rádio/televisão,2394,Desconhecido/Inexistente,1 - 4,4,Mulher,uniao registrada,nenhum,4,Carro/outro,25,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,70
Inexistente,36,Em aberto mas em dia,carro (usado),8133,< 100,1 - 4,1,Mulher,uniao registrada,nenhum,2,"Poupança/
Seguro de vida",30,banco,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,71
Inexistente,7,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,730,Desconhecido/Inexistente,> 7,4,Homem, solteiro,nenhum,2,"Poupança/
Seguro de vida",46,nenhum,alugada,2,"Desempregado/
não qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,72
Negativo,8,conta crítica/outros créditos existentes (não neste banco),carro (usado),1164,< 100,> 7,3,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",51,banco,de graça,2,"Empregado em 
 cargo superior
 qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,73
Regular,42,conta crítica/outros créditos existentes (não neste banco),negócios,5954,< 100,4 - 7,2,Mulher,uniao registrada,nenhum,1,Imóvel,41,banco,própria,2,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,74
Negativo,36,Em aberto mas em dia,educação,1977,Desconhecido/Inexistente,> 7,4,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",40,nenhum,própria,1,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,75
Negativo,12,conta crítica/outros créditos existentes (não neste banco),carro (usado),1526,< 100,> 7,4,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",66,nenhum,de graça,2,"Empregado em 
 cargo superior
 qualificado",1,Nenhum,Sim,Bom,76
Negativo,42,Em aberto mas em dia,rádio/televisão,3965,< 100,...<1ano,4,Homem, solteiro,nenhum,3,Carro/outro,34,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Ruim,77
Regular,11,Pago mas já esteve em atraso,rádio/televisão,4771,< 100,4 - 7,2,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",51,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,78
Inexistente,54,Quitados,carro (usado),9436,Desconhecido/Inexistente,1 - 4,2,Homem, solteiro,nenhum,2,"Poupança/
Seguro de vida",39,nenhum,própria,1,"Desempregado/
não qualificado",2,Nenhum,Sim,Bom,79
Regular,30,Em aberto mas em dia,móveis/equipamentos,3832,< 100,...<1ano,2,Homem,uniao registrada,nenhum,1,"Poupança/
Seguro de vida",22,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,80
Inexistente,24,Em aberto mas em dia,rádio/televisão,5943,Desconhecido/Inexistente,...<1ano,1,Mulher,uniao registrada,nenhum,1,Carro/outro,44,nenhum,própria,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,81
Inexistente,15,Em aberto mas em dia,rádio/televisão,1213,500 - 1000,> 7,4,Homem, solteiro,nenhum,3,"Poupança/
Seguro de vida",47,lojas,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,82
Inexistente,18,Em aberto mas em dia,negócios,1568,100 - 500,1 - 4,3,Mulher,uniao registrada,nenhum,4,"Poupança/
Seguro de vida",24,nenhum,alugada,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,83
Negativo,24,Em aberto mas em dia,carro (usado),1755,< 100,> 7,4,Mulher,uniao registrada,fiador,4,Imóvel,58,nenhum,própria,1,"Desempregado/
não qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,84
Negativo,10,Em aberto mas em dia,rádio/televisão,2315,< 100,> 7,3,Homem, solteiro,nenhum,4,Imóvel,52,nenhum,própria,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,85
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),negócios,1412,< 100,1 - 4,4,Mulher,uniao registrada,fiador,2,Imóvel,29,nenhum,própria,2,"Empregado em 
 cargo superior
 qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,86
Regular,18,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,1295,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,1,"Poupança/
Seguro de vida",27,nenhum,própria,2,"Empregado
qualificado",1,Nenhum,Sim,Bom,87
Regular,36,Em aberto mas em dia,educação,12612,100 - 500,1 - 4,1,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",47,nenhum,de graça,1,"Empregado
qualificado",2,"Sim, registrado em nome do cliente",Sim,Ruim,88
Negativo,18,Em aberto mas em dia,carro (novo),2249,100 - 500,4 - 7,4,Homem, solteiro,nenhum,3,Carro/outro,30,nenhum,própria,1,"Empregado em 
 cargo superior
 qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,89
Negativo,12,Quitados,reparos,1108,< 100,4 - 7,4,Homem, solteiro,nenhum,3,Imóvel,28,nenhum,própria,2,"Empregado
qualificado",1,Nenhum,Sim,Ruim,90
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,618,< 100,> 7,4,Homem, solteiro,nenhum,4,Imóvel,56,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,91
Negativo,12,conta crítica/outros créditos existentes (não neste banco),carro (usado),1409,< 100,> 7,4,Homem, solteiro,nenhum,3,Imóvel,54,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,92
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,797,Desconhecido/Inexistente,> 7,4,Mulher,uniao registrada,nenhum,3,"Poupança/
Seguro de vida",33,banco,própria,1,"Desempregado/
não qualificado",2,Nenhum,Sim,Ruim,93
Alto,24,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,3617,Desconhecido/Inexistente,> 7,4,Homem, solteiro,co-requerente,4,"Sem posses/
desconhecido",20,nenhum,alugada,2,"Empregado
qualificado",1,Nenhum,Sim,Bom,94
Regular,12,Em aberto mas em dia,carro (novo),1318,> 1000,> 7,4,Homem, solteiro,nenhum,4,Imóvel,54,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,95
Regular,54,Quitados,negócios,15945,< 100,...<1ano,3,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",58,nenhum,alugada,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,96
Inexistente,12,conta crítica/outros créditos existentes (não neste banco),educação,2012,Desconhecido/Inexistente,4 - 7,4,Mulher,uniao registrada,nenhum,2,Carro/outro,61,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,97
Regular,18,Em aberto mas em dia,negócios,2622,100 - 500,1 - 4,4,Homem, solteiro,nenhum,4,Carro/outro,34,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,98
Regular,36,conta crítica/outros créditos existentes (não neste banco),rádio/televisão,2337,< 100,> 7,4,Homem, solteiro,nenhum,4,Imóvel,36,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,99
Regular,20,Pago mas já esteve em atraso,carro (usado),7057,Desconhecido/Inexistente,4 - 7,3,Homem, solteiro,nenhum,4,"Poupança/
Seguro de vida",36,banco,alugada,2,"Empregado em 
 cargo superior
 qualificado",2,"Sim, registrado em nome do cliente",Sim,Bom,100
Inexistente,24,Em aberto mas em dia,carro (novo),1469,100 - 500,> 7,4,Homem,uniao registrada,nenhum,4,Imóvel,41,nenhum,alugada,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,101
Regular,36,Em aberto mas em dia,rádio/televisão,2323,< 100,4 - 7,4,Homem, solteiro,nenhum,4,Carro/outro,24,nenhum,alugada,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,102
Inexistente,6,Pago mas já esteve em atraso,rádio/televisão,932,< 100,1 - 4,3,Mulher,uniao registrada,nenhum,2,Imóvel,24,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,103
Regular,9,conta crítica/outros créditos existentes (não neste banco),móveis/equipamentos,1919,< 100,4 - 7,4,Homem, solteiro,nenhum,3,Carro/outro,35,nenhum,alugada,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,104
Inexistente,12,Em aberto mas em dia,carro (usado),2445,Desconhecido/Inexistente,...<1ano,2,Homem,uniao registrada,nenhum,4,Carro/outro,26,nenhum,alugada,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,105
Regular,24,conta crítica/outros créditos existentes (não neste banco),carro (usado),11938,< 100,1 - 4,2,Homem, solteiro,co-requerente,3,Carro/outro,39,nenhum,própria,2,"Empregado em 
 cargo superior
 qualificado",2,"Sim, registrado em nome do cliente",Sim,Ruim,106
Inexistente,18,Quitados,carro (novo),6458,< 100,> 7,2,Homem, solteiro,nenhum,4,"Sem posses/
desconhecido",39,banco,própria,2,"Empregado em 
 cargo superior
 qualificado",2,"Sim, registrado em nome do cliente",Sim,Ruim,107
Regular,12,Em aberto mas em dia,carro (novo),6078,< 100,4 - 7,2,Homem, solteiro,nenhum,2,Carro/outro,32,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,108
Negativo,24,Em aberto mas em dia,móveis/equipamentos,7721,Desconhecido/Inexistente,...<1ano,1,Mulher,uniao registrada,nenhum,2,"Poupança/
Seguro de vida",30,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Não,Bom,109
Regular,14,Em aberto mas em dia,negócios,1410,500 - 1000,> 7,1,Homem,uniao registrada,nenhum,2,Imóvel,35,nenhum,própria,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,110
Regular,6,Pago mas já esteve em atraso,negócios,1449,100 - 500,> 7,1,Homem,uniao registrada,nenhum,2,Carro/outro,31,banco,própria,2,"Empregado
qualificado",2,Nenhum,Sim,Bom,111
Alto,15,Em aberto mas em dia,educação,392,< 100,...<1ano,4,Mulher,uniao registrada,nenhum,4,"Poupança/
Seguro de vida",23,nenhum,alugada,1,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Bom,112
Regular,18,Em aberto mas em dia,carro (novo),6260,< 100,4 - 7,3,Homem, solteiro,nenhum,3,Imóvel,28,nenhum,alugada,1,"Desempregado/
não qualificado",1,Nenhum,Sim,Bom,113
Inexistente,36,conta crítica/outros créditos existentes (não neste banco),carro (novo),7855,< 100,1 - 4,4,Mulher,uniao registrada,nenhum,2,Imóvel,25,lojas,própria,2,"Empregado
qualificado",1,"Sim, registrado em nome do cliente",Sim,Ruim,114
Negativo,12,Em aberto mas em dia,rádio/televisão,1680,500 - 1000,> 7,3,Homem,uniao registrada,nenhum,1,Imóvel,35,nenhum,própria,1,"Empregado
qualificado",1,Nenhum,Sim,Bom,115
