ID,status_conta,duracao_mes,hist_credito,qtdd_credito,percen_tx_rendim_disp,dev_fiadores,outros_par,n_creditos,classe
166, inexistente,6,créditos existentes pagos devidamente até agora,2978,1,nenhum,nenhum,1,Bom
167,negativo,18,créditos existentes pagos devidamente até agora,1131,4,nenhum,nenhum,1,Ruim
168,regular,11,créditos existentes pagos devidamente até agora,1577,4,nenhum,nenhum,1,Bom
169, inexistente,24,créditos existentes pagos devidamente até agora,3972,2,nenhum,nenhum,1,Bom
170,regular,24,conta crítica/outros créditos existentes (não neste banco),1935,4,nenhum,nenhum,2,Ruim
171,negativo,15,nenhum crédito obtido/todos os créditos pagos devidamente,950,4,nenhum,nenhum,2,Ruim
172, inexistente,12,créditos existentes pagos devidamente até agora,763,4,nenhum,nenhum,1,Bom
173,regular,24,atraso no pagamento no passado,2064,3,nenhum,nenhum,1,Ruim
174,regular,8,créditos existentes pagos devidamente até agora,1414,4,fiador,nenhum,1,Bom
175,negativo,21,atraso no pagamento no passado,3414,2,nenhum,nenhum,2,Ruim
176, inexistente,30,todos os créditos deste banco foram devidamente pagos,7485,4,nenhum,banco,1,Ruim
177,negativo,12,créditos existentes pagos devidamente até agora,2577,2,nenhum,nenhum,1,Bom
178,negativo,6,conta crítica/outros créditos existentes (não neste banco),338,4,nenhum,nenhum,2,Bom
179, inexistente,12,créditos existentes pagos devidamente até agora,1963,4,nenhum,nenhum,2,Bom
180,negativo,21,conta crítica/outros créditos existentes (não neste banco),571,4,nenhum,nenhum,2,Bom
181, inexistente,36,atraso no pagamento no passado,9572,1,nenhum,nenhum,2,Ruim
182,regular,36,atraso no pagamento no passado,4455,2,nenhum,lojas,2,Ruim
183,negativo,21,todos os créditos deste banco foram devidamente pagos,1647,4,nenhum,nenhum,2,Ruim
184, inexistente,24,conta crítica/outros créditos existentes (não neste banco),3777,4,nenhum,nenhum,1,Bom
185,regular,18,conta crítica/outros créditos existentes (não neste banco),884,4,nenhum,banco,1,Ruim
186, inexistente,15,conta crítica/outros créditos existentes (não neste banco),1360,4,nenhum,nenhum,2,Bom
187,regular,9,todos os créditos deste banco foram devidamente pagos,5129,2,nenhum,banco,1,Ruim
188,regular,16,conta crítica/outros créditos existentes (não neste banco),1175,2,nenhum,nenhum,3,Bom
189,negativo,12,créditos existentes pagos devidamente até agora,674,4,nenhum,nenhum,1,Ruim
190,regular,18,nenhum crédito obtido/todos os créditos pagos devidamente,3244,1,nenhum,banco,2,Bom
191, inexistente,24,créditos existentes pagos devidamente até agora,4591,2,nenhum,nenhum,3,Ruim
192,regular,48,nenhum crédito obtido/todos os créditos pagos devidamente,3844,4,nenhum,nenhum,1,Ruim
193,regular,27,créditos existentes pagos devidamente até agora,3915,4,nenhum,nenhum,1,Ruim
194, inexistente,6,créditos existentes pagos devidamente até agora,2108,2,nenhum,nenhum,1,Bom
195,regular,45,créditos existentes pagos devidamente até agora,3031,4,fiador,nenhum,1,Ruim
196,regular,9,conta crítica/outros créditos existentes (não neste banco),1501,2,nenhum,nenhum,2,Ruim
197, inexistente,6,conta crítica/outros créditos existentes (não neste banco),1382,1,nenhum,nenhum,2,Bom
198,regular,12,créditos existentes pagos devidamente até agora,951,4,nenhum,banco,4,Ruim
199,regular,24,créditos existentes pagos devidamente até agora,2760,4,nenhum,banco,1,Bom
200,regular,18,atraso no pagamento no passado,4297,4,nenhum,nenhum,1,Ruim
201, inexistente,9,conta crítica/outros créditos existentes (não neste banco),936,4,nenhum,nenhum,2,Bom
202,negativo,12,créditos existentes pagos devidamente até agora,1168,4,nenhum,nenhum,1,Bom
203, inexistente,27,atraso no pagamento no passado,5117,3,nenhum,nenhum,2,Bom
204,negativo,12,créditos existentes pagos devidamente até agora,902,4,nenhum,nenhum,1,Ruim
205, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1495,4,nenhum,nenhum,2,Bom
206,negativo,30,conta crítica/outros créditos existentes (não neste banco),10623,3,nenhum,nenhum,3,Bom
207, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1935,4,nenhum,nenhum,3,Bom
208,regular,12,conta crítica/outros créditos existentes (não neste banco),1424,4,nenhum,nenhum,1,Bom
209,negativo,24,créditos existentes pagos devidamente até agora,6568,2,nenhum,lojas,1,Bom
210, inexistente,12,créditos existentes pagos devidamente até agora,1413,3,nenhum,nenhum,1,Bom
211, inexistente,9,conta crítica/outros créditos existentes (não neste banco),3074,1,nenhum,nenhum,2,Bom
212, inexistente,36,créditos existentes pagos devidamente até agora,3835,2,nenhum,nenhum,1,Bom
213,negativo,27,nenhum crédito obtido/todos os créditos pagos devidamente,5293,2,nenhum,lojas,2,Ruim
214,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,30,atraso no pagamento no passado,1908,4,nenhum,nenhum,1,Ruim
215, inexistente,36,conta crítica/outros créditos existentes (não neste banco),3342,4,nenhum,nenhum,1,Bom
216,regular,6,conta crítica/outros créditos existentes (não neste banco),932,1,nenhum,nenhum,2,Bom
217,negativo,18,nenhum crédito obtido/todos os créditos pagos devidamente,3104,3,nenhum,banco,1,Bom
218,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,36,créditos existentes pagos devidamente até agora,3913,2,nenhum,nenhum,1,Bom
219,negativo,24,créditos existentes pagos devidamente até agora,3021,2,nenhum,nenhum,1,Bom
220, inexistente,10,créditos existentes pagos devidamente até agora,1364,2,nenhum,nenhum,1,Bom
221,regular,12,créditos existentes pagos devidamente até agora,625,4,fiador,banco,1,Bom
222,negativo,12,créditos existentes pagos devidamente até agora,1200,4,nenhum,banco,1,Bom
223, inexistente,12,créditos existentes pagos devidamente até agora,707,4,nenhum,banco,2,Bom
224, inexistente,24,atraso no pagamento no passado,2978,4,nenhum,nenhum,2,Bom
225, inexistente,15,créditos existentes pagos devidamente até agora,4657,3,nenhum,nenhum,1,Bom
226, inexistente,36,nenhum crédito obtido/todos os créditos pagos devidamente,2613,4,nenhum,nenhum,2,Bom
227,regular,48,créditos existentes pagos devidamente até agora,10961,1,co-requerente,banco,2,Ruim
228,negativo,12,créditos existentes pagos devidamente até agora,7865,4,nenhum,nenhum,1,Ruim
229, inexistente,9,créditos existentes pagos devidamente até agora,1478,4,nenhum,nenhum,1,Ruim
230,negativo,24,créditos existentes pagos devidamente até agora,3149,4,nenhum,banco,1,Bom
231,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,36,créditos existentes pagos devidamente até agora,4210,4,nenhum,nenhum,1,Ruim
232, inexistente,9,créditos existentes pagos devidamente até agora,2507,2,nenhum,nenhum,1,Bom
233, inexistente,12,créditos existentes pagos devidamente até agora,2141,3,nenhum,nenhum,1,Bom
234,regular,18,créditos existentes pagos devidamente até agora,866,4,fiador,nenhum,1,Bom
235, inexistente,4,conta crítica/outros créditos existentes (não neste banco),1544,2,nenhum,nenhum,3,Bom
236,negativo,24,créditos existentes pagos devidamente até agora,1823,4,nenhum,lojas,1,Ruim
237,regular,6,créditos existentes pagos devidamente até agora,14555,1,nenhum,nenhum,1,Ruim
238,regular,21,créditos existentes pagos devidamente até agora,2767,4,nenhum,banco,2,Ruim
239, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1291,4,nenhum,nenhum,2,Bom
240,negativo,30,créditos existentes pagos devidamente até agora,2522,1,fiador,nenhum,1,Bom
241,negativo,24,créditos existentes pagos devidamente até agora,915,4,nenhum,banco,1,Ruim
242, inexistente,6,créditos existentes pagos devidamente até agora,1595,3,nenhum,nenhum,1,Bom
243,negativo,48,nenhum crédito obtido/todos os créditos pagos devidamente,4605,3,nenhum,nenhum,2,Ruim
244, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1185,3,nenhum,nenhum,2,Bom
245, inexistente,12,todos os créditos deste banco foram devidamente pagos,3447,4,nenhum,nenhum,1,Bom
246, inexistente,24,créditos existentes pagos devidamente até agora,1258,4,nenhum,nenhum,1,Bom
247, inexistente,12,conta crítica/outros créditos existentes (não neste banco),717,4,nenhum,nenhum,3,Bom
248, inexistente,6,nenhum crédito obtido/todos os créditos pagos devidamente,1204,4,nenhum,banco,1,Bom
249,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,24,créditos existentes pagos devidamente até agora,1925,2,nenhum,nenhum,1,Bom
250, inexistente,18,créditos existentes pagos devidamente até agora,433,3,co-requerente,nenhum,1,Ruim
251,negativo,6,conta crítica/outros créditos existentes (não neste banco),666,3,nenhum,nenhum,2,Bom
252,...>=200MarcoAlemão/atribuiçõessalariaisporpelomenos1ano,12,créditos existentes pagos devidamente até agora,2251,1,nenhum,nenhum,1,Bom
253,regular,30,créditos existentes pagos devidamente até agora,2150,4,fiador,banco,1,Ruim
254, inexistente,24,atraso no pagamento no passado,4151,2,nenhum,nenhum,2,Bom
255,regular,9,créditos existentes pagos devidamente até agora,2030,2,nenhum,nenhum,1,Bom
256,regular,60,atraso no pagamento no passado,7418,1,nenhum,nenhum,1,Bom
257, inexistente,24,conta crítica/outros créditos existentes (não neste banco),2684,4,nenhum,nenhum,2,Bom
258,negativo,12,todos os créditos deste banco foram devidamente pagos,2149,4,nenhum,nenhum,1,Ruim
259, inexistente,15,créditos existentes pagos devidamente até agora,3812,1,nenhum,nenhum,1,Bom
260, inexistente,11,conta crítica/outros créditos existentes (não neste banco),1154,4,nenhum,nenhum,3,Bom
261,negativo,12,créditos existentes pagos devidamente até agora,1657,2,nenhum,nenhum,1,Bom
262,negativo,24,créditos existentes pagos devidamente até agora,1603,4,nenhum,nenhum,1,Bom
263,negativo,18,conta crítica/outros créditos existentes (não neste banco),5302,2,nenhum,nenhum,3,Bom
264, inexistente,12,conta crítica/outros créditos existentes (não neste banco),2748,2,nenhum,banco,3,Bom
265, inexistente,10,conta crítica/outros créditos existentes (não neste banco),1231,3,nenhum,nenhum,2,Bom
266,regular,15,créditos existentes pagos devidamente até agora,802,4,nenhum,nenhum,1,Ruim
267, inexistente,36,conta crítica/outros créditos existentes (não neste banco),6304,4,nenhum,nenhum,2,Bom
268, inexistente,24,créditos existentes pagos devidamente até agora,1533,4,nenhum,lojas,1,Bom
269,negativo,14,créditos existentes pagos devidamente até agora,8978,1,nenhum,nenhum,1,Ruim
270, inexistente,24,créditos existentes pagos devidamente até agora,999,4,nenhum,nenhum,2,Bom
271, inexistente,18,créditos existentes pagos devidamente até agora,2662,4,nenhum,nenhum,1,Bom
272, inexistente,12,conta crítica/outros créditos existentes (não neste banco),1402,3,nenhum,nenhum,1,Bom
273,regular,48,todos os créditos deste banco foram devidamente pagos,12169,4,co-requerente,nenhum,1,Bom
274,regular,48,créditos existentes pagos devidamente até agora,3060,4,nenhum,nenhum,2,Ruim
275,negativo,30,créditos existentes pagos devidamente até agora,11998,1,nenhum,nenhum,1,Ruim
276, inexistente,9,créditos existentes pagos devidamente até agora,2697,1,nenhum,nenhum,1,Bom
277, inexistente,18,conta crítica/outros créditos existentes (não neste banco),2404,2,nenhum,nenhum,2,Bom
278,negativo,12,créditos existentes pagos devidamente até agora,1262,2,nenhum,nenhum,1,Bom
279, inexistente,6,créditos existentes pagos devidamente até agora,4611,1,nenhum,nenhum,1,Ruim
280, inexistente,24,créditos existentes pagos devidamente até agora,1901,4,nenhum,nenhum,1,Bom
281, inexistente,15,conta crítica/outros créditos existentes (não neste banco),3368,3,nenhum,nenhum,2,Bom
282, inexistente,12,créditos existentes pagos devidamente até agora,1574,4,nenhum,nenhum,1,Bom
