ID,habitacao,tempo_res_atual,patrimonio,telefone,proposito,reserva,n_corresponsaveis,classe
35,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
36,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Ruim
37,de graça,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,< 100,1,Bom
38,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
39,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",eletrodomésticos,< 100,1,Bom
40,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
41,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,500 - 1000,1,Bom
42,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,1,Bom
43,própria,4,imobiliária,"Sim, registrado em nome do cliente",reparos,< 100,2,Bom
44,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),100 - 500,1,Bom
45,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),< 100,1,Ruim
46,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Bom
47,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,500 - 1000,1,Bom
48,alugada,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),500 - 1000,1,Bom
49,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
50,própria,2,imobiliária,Nenhum,rádio/televisão,100 - 500,1,Bom
51,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
52,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
53,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
54,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
55,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
56,própria,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,2,Bom
57,própria,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Ruim
58,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
59,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Bom
60,alugada,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
61,própria,1,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
62,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
63,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
64,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
65,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
66,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",reparos,desconhecido/semcontapoupança,2,Bom
67,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
68,própria,1,imobiliária,Nenhum,carro (novo),> 1000,1,Bom
69,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,< 100,1,Ruim
70,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
71,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),< 100,1,Bom
72,alugada,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
73,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado)0,< 100,2,Bom
74,própria,1,imobiliária,Nenhum,negócios,< 100,1,Bom
75,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,desconhecido/semcontapoupança,1,Ruim
76,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),< 100,1,Bom
77,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
78,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
79,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),desconhecido/semcontapoupança,2,Bom
80,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
81,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Ruim
82,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,1,Bom
83,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,100 - 500,1,Bom
84,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (usado)0,< 100,1,Bom
85,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
86,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
87,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
88,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",educação,100 - 500,2,Ruim
89,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,2,Bom
90,própria,3,imobiliária,Nenhum,reparos,< 100,1,Ruim
91,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
92,própria,3,imobiliária,Nenhum,carro (usado),< 100,1,Bom
93,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,desconhecido/semcontapoupança,2,Ruim
94,alugada,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
95,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),> 1000,1,Bom
96,alugada,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
97,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,desconhecido/semcontapoupança,1,Bom
98,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,100 - 500,1,Bom
99,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
100,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
101,alugada,4,imobiliária,Nenhum,carro (novo),100 - 500,1,Bom
102,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
103,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
104,alugada,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
105,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
106,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado)0,< 100,2,Ruim
107,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,2,Ruim
108,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Bom
109,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
110,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,500 - 1000,1,Bom
111,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,100 - 500,2,Bom
112,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",educação,< 100,1,Bom
113,alugada,3,imobiliária,Nenhum,carro (novo),< 100,1,Bom
114,própria,2,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
115,própria,1,imobiliária,Nenhum,rádio/televisão,500 - 1000,1,Bom
116,própria,1,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
117,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Ruim
118,alugada,3,imobiliária,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
119,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,500 - 1000,1,Ruim
120,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),500 - 1000,1,Bom
121,própria,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
122,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
123,alugada,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
124,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
125,alugada,3,imobiliária,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Ruim
126,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
127,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
128,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,reparos,< 100,1,Ruim
129,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
130,própria,2,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
131,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
132,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",educação,< 100,1,Ruim
133,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
134,de graça,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,1,Bom
135,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,1,Bom
136,própria,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
137,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),> 1000,1,Bom
138,própria,3,imobiliária,Nenhum,rádio/televisão,500 - 1000,1,Ruim
139,própria,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
140,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
141,própria,2,imobiliária,Nenhum,carro (novo),> 1000,1,Bom
142,própria,1,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
143,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
144,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
145,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
146,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,100 - 500,1,Bom
147,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
148,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
149,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
150,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,> 1000,1,Bom
151,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,2,Bom
152,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
153,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
154,alugada,4,desconhecido/sem propriedade,Nenhum,carro (usado),> 1000,1,Bom
155,alugada,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,100 - 500,1,Bom
156,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
157,própria,4,imobiliária,Nenhum,reparos,100 - 500,2,Bom
158,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,reciclagem,< 100,1,Bom
159,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
160,própria,2,imobiliária,Nenhum,rádio/televisão,desconhecido/semcontapoupança,2,Bom
161,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,100 - 500,2,Bom
162,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
163,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",eletrodomésticos,500 - 1000,1,Bom
164,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
165,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),500 - 1000,1,Bom
166,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
167,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
168,própria,1,imobiliária,Nenhum,móveis/equipamentos,> 1000,1,Bom
169,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
170,própria,4,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
171,alugada,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,2,Ruim
172,própria,1,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
173,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
174,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
175,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,< 100,1,Ruim
176,própria,1,imobiliária,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Ruim
177,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
178,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,500 - 1000,1,Bom
179,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,2,Bom
180,própria,4,imobiliária,Nenhum,carro (novo),< 100,1,Bom
181,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Ruim
182,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
183,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),desconhecido/semcontapoupança,2,Ruim
184,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,> 1000,1,Bom
185,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,2,Ruim
186,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
187,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,2,Ruim
188,de graça,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
189,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,100 - 500,1,Ruim
190,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
191,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,> 1000,1,Ruim
192,de graça,4,desconhecido/sem propriedade,Nenhum,negócios,100 - 500,2,Ruim
193,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,2,Ruim
194,alugada,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
195,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,100 - 500,1,Ruim
196,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",educação,< 100,1,Ruim
197,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
198,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,100 - 500,1,Ruim
199,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
200,própria,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
201,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",educação,500 - 1000,1,Bom
202,própria,3,imobiliária,Nenhum,carro (novo),< 100,1,Bom
203,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Bom
204,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,reciclagem,< 100,1,Ruim
205,própria,1,imobiliária,Nenhum,carro (novo),< 100,2,Bom
206,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,2,Bom
207,própria,4,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
208,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,eletrodomésticos,< 100,1,Bom
209,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Bom
210,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),> 1000,1,Bom
211,própria,2,imobiliária,Nenhum,rádio/televisão,desconhecido/semcontapoupança,2,Bom
212,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
213,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
214,própria,4,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
215,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
216,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,reciclagem,desconhecido/semcontapoupança,1,Bom
217,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
218,própria,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
219,alugada,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
220,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
221,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
222,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",educação,desconhecido/semcontapoupança,1,Bom
223,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
224,própria,4,imobiliária,"Sim, registrado em nome do cliente",negócios,desconhecido/semcontapoupança,2,Bom
225,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
226,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,reparos,< 100,1,Bom
227,própria,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,> 1000,1,Ruim
228,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
229,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
230,de graça,1,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,1,Bom
231,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Ruim
232,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),500 - 1000,1,Bom
233,própria,1,desconhecido/sem propriedade,Nenhum,rádio/televisão,100 - 500,1,Bom
234,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
235,própria,1,imobiliária,Nenhum,rádio/televisão,< 100,2,Bom
236,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,2,Ruim
237,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Ruim
238,alugada,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,100 - 500,1,Ruim
239,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
240,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,2,Bom
241,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
242,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,2,Bom
243,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),< 100,2,Ruim
244,própria,2,imobiliária,Nenhum,negócios,< 100,1,Bom
245,própria,3,imobiliária,Nenhum,reciclagem,500 - 1000,2,Bom
246,própria,1,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
247,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
248,alugada,1,desconhecido/sem propriedade,Nenhum,carro (novo),100 - 500,1,Bom
249,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
250,alugada,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
251,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),> 1000,1,Bom
252,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Bom
253,própria,2,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,1,Ruim
254,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,100 - 500,1,Bom
255,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
256,própria,1,imobiliária,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
257,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
258,de graça,1,desconhecido/sem propriedade,Nenhum,rádio/televisão,< 100,1,Ruim
259,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),100 - 500,1,Bom
260,própria,4,imobiliária,Nenhum,rádio/televisão,100 - 500,1,Bom
261,própria,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
262,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
263,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
264,de graça,4,desconhecido/sem propriedade,Nenhum,educação,< 100,1,Bom
265,própria,4,imobiliária,Nenhum,carro (novo),< 100,2,Bom
266,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,2,Ruim
267,própria,4,imobiliária,Nenhum,negócios,desconhecido/semcontapoupança,1,Bom
268,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
